SINGLE,,,,,,,,,,,,,,
,sequential,,SYCL,,,,CUDA,,,,OpenACC,,,
N,ord,Kahan,col,col Kahan,row,row Kahan,col,col Kahan,row,row Kahan,col,col Kahan,row,row Kahan
15,0.0012,0.0017,0.0014,0.0014,0.0013,0.0014,0.0004,0.0004,0.0003,0.0003,0.0006,0.0006,0.0005,0.0005
16,0.0025,0.0033,0.0021,0.0024,0.0014,0.0014,0.0005,0.0005,0.0004,0.0004,0.0009,0.0009,0.0007,0.0007
17,0.0049,0.0066,0.0026,0.0017,0.0016,0.0016,0.0007,0.0007,0.0006,0.0006,0.0013,0.0013,0.001,0.001
18,0.0098,0.0133,0.0023,0.0021,0.0019,0.0019,0.001,0.0011,0.0009,0.0009,0.0021,0.0021,0.0015,0.0015
19,0.0195,0.0265,0.0043,0.0028,0.0025,0.0025,0.0017,0.0017,0.0015,0.0015,0.0032,0.0032,0.0022,0.0023
20,0.0389,0.0526,0.0034,0.0034,0.0029,0.003,0.0023,0.0023,0.0019,0.002,0.0051,0.0051,0.0032,0.0032
21,0.0774,0.1049,0.006,0.0046,0.0038,0.0041,0.0034,0.0035,0.0029,0.0029,0.0082,0.0082,0.0047,0.0047
22,0.1545,0.2093,0.0072,0.007,0.0057,0.0062,0.0056,0.0057,0.0047,0.0049,0.0142,0.0142,0.0074,0.0076
23,0.3086,0.4184,0.0137,0.0115,0.0095,0.0105,0.0107,0.0108,0.0088,0.0089,0.0261,0.0259,0.0137,0.014
24,0.6195,0.8387,0.0224,0.0213,0.0181,0.0188,0.0212,0.0212,0.0172,0.0171,0.0475,0.0474,0.0241,0.0243
25,1.241,1.6792,0.0408,0.0396,0.0346,0.0366,0.0423,0.0411,0.0344,0.0341,0.088,0.089,0.0445,0.046
26,2.4833,3.3595,0.076,0.0772,0.07,0.071,0.0825,0.0815,0.0681,0.0683,0.1677,0.1684,0.0814,0.0832
27,4.9689,6.7197,0.1667,0.1538,0.1374,0.1396,0.1578,0.16,0.135,0.1354,0.3256,0.3242,0.1525,0.1585
28,9.9358,13.7732,0.3022,0.2961,0.2738,0.2776,0.3157,0.3149,0.2686,0.2697,0.6463,0.6493,0.3032,0.3136
29,19.8736,26.8826,0.5845,0.6021,0.5484,0.5536,0.6212,0.6268,0.5389,0.5359,1.2933,1.2912,0.6095,0.6272
30,39.7511,53.7674,1.25,1.2156,,,1.201,1.2069,,,2.5315,2.5088,,
,,,,,,,,,,,,,,
Speedup,,,,,,,,,,,,,,
15,,,0.9,1.2,0.9,1.2,3.3,4.4,3.9,5.1,2.2,3,2.4,3.2
16,,,1.2,1.4,1.7,2.3,5.1,6.7,6,8.2,2.9,3.9,3.6,4.8
17,,,1.9,3.9,3.2,4.1,7.1,9.5,8.7,11.7,3.8,5.1,5.2,6.7
18,,,4.2,6.4,5.3,6.9,9.4,12.4,11.1,14.8,4.8,6.4,6.6,8.7
19,,,4.5,9.5,7.7,10.4,11.7,15.7,13.3,17.9,6.1,8.3,8.9,11.4
20,,,11.3,15.6,13.4,17.8,16.9,23,20.2,26.3,7.6,10.3,12.1,16.3
21,,,12.9,22.7,20.2,25.8,22.6,30.3,26.6,36.7,9.4,12.9,16.3,22.3
22,,,21.4,29.7,27.2,33.8,27.5,36.7,32.6,43.1,10.9,14.7,20.7,27.6
