SINGLE,,,,,,,,,,,,,,
,sequential,,SYCL,,,,CUDA,,,,OpenACC,,,
N,ord,Kahan,col,col Kahan,row,row Kahan,col,col Kahan,row,row Kahan,col,col Kahan,row,row Kahan
15,0.0006,0.0011,0.1945,0.1953,0.1734,0.1927,0.192,0.1917,0.1932,0.1921,0.0005,0.0005,0.0005,0.0005
16,0.001,0.002,0.1952,0.1952,0.1731,0.1938,0.1927,0.1917,0.1929,0.192,0.0008,0.0007,0.0006,0.0006
17,0.0021,0.0036,0.1956,0.1959,0.1719,0.1933,0.193,0.1915,0.1939,0.1937,0.0012,0.0011,0.0008,0.0008
18,0.0048,0.0077,0.1971,0.1974,0.1741,0.1946,0.1945,0.1933,0.1951,0.1943,0.0018,0.0018,0.0013,0.0013
19,0.0086,0.0144,0.1975,0.198,0.1721,0.1945,0.1947,0.1937,0.1937,0.1934,0.0027,0.0027,0.0014,0.0014
20,0.0172,0.0277,0.196,0.1965,0.1811,0.1936,0.1932,0.1925,0.1943,0.1943,0.0045,0.0045,0.0021,0.0021
21,0.0353,0.0553,0.1972,0.1977,0.1959,0.1956,0.1941,0.1948,0.1782,0.1952,0.008,0.0081,0.0036,0.0037
22,0.0745,0.1115,0.1999,0.1986,0.1983,0.1974,0.1982,0.1962,0.175,0.1981,0.0145,0.0146,0.0059,0.0059
23,0.1532,0.2197,0.204,0.2044,0.2017,0.2014,0.201,0.2014,0.177,0.1999,0.026,0.0265,0.0102,0.0103
24,0.31,0.4352,0.2128,0.2116,0.2071,0.2081,0.211,0.2093,0.187,0.2076,0.0498,0.0497,0.0187,0.0189
25,0.6126,0.8845,0.2272,0.2259,0.2209,0.2192,0.2267,0.2272,0.1991,0.2199,0.096,0.0962,0.0352,0.0356
26,1.2416,1.7599,0.2558,0.2555,0.2484,0.2496,0.2577,0.2585,0.2265,0.2475,0.1818,0.1839,0.0672,0.0657
27,2.5064,3.5147,0.3124,0.3096,0.3008,0.302,0.3198,0.3193,0.2984,0.3013,0.3495,0.3518,0.1214,0.1225
28,4.8388,6.9416,0.4329,0.4283,0.4026,0.4021,0.4421,0.4405,0.4013,0.4021,0.6841,0.6907,0.2427,0.2433
29,9.9265,14.0498,0.6701,0.6617,0.6461,0.6446,0.6846,0.6827,0.639,0.6371,1.3816,1.3909,0.4891,0.5022
30,19.5962,28.0809,1.1672,1.1353,,,1.1698,1.1651,,,2.7811,2.7966,,
,,,,,,,,,,,,,,
Speedup,,,,,,,,,,,,,,
15,,,0,0,0,0,0,0,0,0,1.2,2.1,1.4,2.3
16,,,0,0,0,0,0,0,0,0,1.4,2.7,1.7,3.4
17,,,0,0,0,0,0,0,0,0,1.8,3.2,2.6,4.5
18,,,0,0,0,0,0,0,0,0,2.6,4.2,3.6,5.7
19,,,0,0.1,0.1,0.1,0,0.1,0,0.1,3.2,5.4,6.2,10
20,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.8,6.1,8.3,13.2
21,,,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.3,4.4,6.8,9.7,14.8
22,,,0.4,0.6,0.4,0.6,0.4,0.6,0.4,0.6,5.1,7.7,12.7,18.8
23,,,0.8,1.1,0.8,1.1,0.8,1.1,0.9,1.1,5.9,8.3,15.1,21.4
24,,,1.5,2.1,1.5,2.1,1.5,2.1,1.7,2.1,6.2,8.8,16.6,23
25,,,2.7,3.9,2.8,4,2.7,3.9,3.1,4,6.4,9.2,17.4,24.8
26,,,4.9,6.9,5,7.1,4.8,6.8,5.5,7.1,6.8,9.6,18.5,26.8
27,,,8,11.4,8.3,11.6,7.8,11,8.4,11.7,7.2,10,20.6,28.7
28,,,11.2,16.2,12,17.3,10.9,15.8,12.1,17.3,7.1,10.1,19.9,28.5
29,,,14.8,21.2,15.4,21.8,14.5,20.6,15.5,22.1,7.2,10.1,20.3,28
30,,,16.8,24.7,,,16.8,24.1,,,7,10,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DOUBLE,,,,,,,,,,,,,,
,sequential,,SYCL,,,,CUDA,,,,OpenACC,,,
N,ord,Kahan,col,col Kahan,row,row Kahan,col,col Kahan,row,row Kahan,col,col Kahan,row,row Kahan
15,0.0006,0.0011,0.166,0.1676,0.1675,0.1684,0.1661,0.1659,0.1664,0.1658,0.0006,0.0007,0.0006,0.0006
16,0.0015,0.002,0.1667,0.1677,0.1684,0.169,0.167,0.1663,0.1683,0.167,0.001,0.001,0.0008,0.0008
17,0.0022,0.0037,0.1673,0.1683,0.1694,0.17,0.1686,0.1681,0.1694,0.1687,0.0016,0.0017,0.0013,0.0013
18,0.0039,0.007,0.1683,0.1684,0.1681,0.1688,0.1688,0.1688,0.1677,0.168,0.0025,0.0025,0.0013,0.0014
19,0.0083,0.0136,0.1681,0.1679,0.1679,0.1687,0.1679,0.1674,0.1675,0.1687,0.0041,0.0042,0.002,0.0021
20,0.0184,0.0273,0.168,0.1693,0.1707,0.1707,0.1679,0.1684,0.1679,0.1676,0.0075,0.0075,0.0031,0.0034
21,0.0382,0.0549,0.1701,0.1713,0.1715,0.1725,0.1716,0.1715,0.1706,0.1711,0.0134,0.0136,0.0052,0.0055
22,0.0773,0.1106,0.1758,0.1763,0.175,0.1756,0.1761,0.1732,0.1747,0.1755,0.025,0.0251,0.0087,0.0091
23,0.156,0.2204,0.1841,0.1828,0.184,0.1823,0.182,0.1835,0.1819,0.1811,0.0471,0.0476,0.0159,0.0166
24,0.3133,0.4383,0.198,0.1979,0.1966,0.1973,0.1985,0.1974,0.1956,0.1958,0.0917,0.0926,0.0298,0.0309
25,0.6236,0.8756,0.2255,0.2267,0.2241,0.2232,0.226,0.2253,0.2222,0.2214,0.1739,0.1733,0.0561,0.058
26,1.2512,1.7519,0.2784,0.2798,0.2683,0.2692,0.2766,0.2754,0.2681,0.2695,0.3382,0.3393,0.1056,0.1079
27,2.5095,3.5032,0.3896,0.3921,0.3759,0.3758,0.3778,0.3805,0.373,0.3771,0.6704,0.6766,0.2108,0.2136
28,4.957,7.0324,0.607,0.6135,0.5695,0.5719,0.5959,0.6023,0.5717,0.5659,1.3249,1.3454,0.4256,0.4302
29,9.9299,13.881,1.0578,1.0594,,,1.0413,1.046,,,2.6781,2.6776,,
,,,,,,,,,,,,,,
Speedup,,,,,,,,,,,,,,
15,,,0,0,0,0,0,0,0,0,1,1.6,1.1,1.9
16,,,0,0,0,0,0,0,0,0,1.5,1.9,2,2.3
