SINGLE,,,,,,,,,,,,,,
,sequential,,,SYCL,,,CUDA,,,,OpenACC,,,
N,ord,ord Kahan,col,col Kahan,row,row Kahan,col,col Kahan,row,row Kahan,col,col Kahan,row,row Kahan
15,6E-06,5E-08,9E-07,6E-08,9E-07,6E-08,5E-07,9E-08,5E-07,9E-08,5E-07,5E-08,5E-07,5E-08
16,1E-05,2E-07,2E-06,7E-08,2E-06,7E-08,2E-06,5E-08,2E-06,5E-08,2E-06,9E-08,2E-06,9E-08
17,2E-05,2E-07,1E-06,2E-07,1E-06,2E-07,1E-06,6E-08,1E-06,6E-08,3E-07,1E-07,3E-07,1E-07
18,2E-04,9E-08,1E-06,8E-08,1E-06,8E-08,3E-07,8E-08,3E-07,8E-08,2E-06,8E-08,2E-06,8E-08
19,4E-04,3E-08,1E-07,5E-08,1E-07,5E-08,1E-06,5E-08,1E-06,5E-08,1E-06,5E-08,1E-06,5E-08
20,3E-03,3E-08,4E-06,5E-08,4E-06,5E-08,4E-06,5E-08,4E-06,5E-08,4E-06,5E-08,4E-06,5E-08
21,5E-03,3E-08,2E-06,6E-08,2E-06,6E-08,4E-07,5E-08,4E-07,5E-08,2E-06,5E-08,2E-06,5E-08
22,8E-03,3E-08,3E-06,5E-08,3E-06,5E-08,3E-06,6E-08,3E-06,6E-08,4E-06,4E-08,4E-06,4E-08
23,4E-02,3E-08,7E-07,5E-08,7E-07,5E-08,8E-07,5E-08,8E-07,5E-08,5E-07,4E-08,5E-07,4E-08
24,5E-02,3E-08,3E-06,5E-08,3E-06,5E-08,3E-06,5E-08,3E-06,5E-08,3E-06,4E-08,3E-06,4E-08
25,2E-01,3E-08,5E-06,5E-08,5E-06,5E-08,4E-06,5E-08,4E-06,5E-08,4E-06,5E-08,4E-06,5E-08
26,1E-01,3E-08,5E-06,5E-08,5E-06,5E-08,5E-06,5E-08,5E-06,5E-08,5E-06,4E-08,5E-06,4E-08
27,8E-02,3E-08,1E-05,6E-08,1E-05,6E-08,1E-05,6E-08,1E-05,6E-08,1E-05,5E-08,1E-05,5E-08
28,3E-01,4E-08,9E-06,7E-08,9E-06,7E-08,9E-06,5E-08,9E-06,5E-08,9E-06,5E-08,9E-06,5E-08
29,9E-01,4E-08,3E-05,8E-08,3E-05,8E-08,3E-05,7E-08,3E-05,7E-08,3E-05,6E-08,3E-05,6E-08
30,7E-01,4E-08,2E-05,6E-08,,,2E-05,6E-08,,,2E-05,6E-08,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DOUBLE,,,,,,,,,,,,,,
,sequential,,SYCL,,,,CUDA,,,,OpenACC,,,
N,ord,ord Kahan,col,col Kahan,row,row Kahan,col,col Kahan,row,row Kahan,col,col Kahan,row,row Kahan
15,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
16,3.36E-09,3.36E-09,3.36E-09,3.36E-09,3.36E-09,3.36E-09,3.36E-09,3.36E-09,3.36E-09,3.36E-09,3.36E-09,3.36E-09,3.36E-09,3.36E-09
17,8.40E-10,8.40E-10,8.40E-10,8.40E-10,8.40E-10,8.40E-10,8.40E-10,8.40E-10,8.40E-10,8.40E-10,8.40E-10,8.40E-10,8.40E-10,8.40E-10
18,2.10E-10,2.10E-10,2.10E-10,2.10E-10,2.10E-10,2.10E-10,2.10E-10,2.10E-10,2.10E-10,2.10E-10,2.10E-10,2.10E-10,2.10E-10,2.10E-10
19,5.25E-11,5.25E-11,5.25E-11,5.25E-11,5.25E-11,5.25E-11,5.25E-11,5.25E-11,5.25E-11,5.25E-11,5.25E-11,5.25E-11,5.25E-11,5.25E-11
20,1.31E-11,1.31E-11,1.31E-11,1.31E-11,1.31E-11,1.31E-11,1.31E-11,1.31E-11,1.31E-11,1.31E-11,1.31E-11,1.31E-11,1.31E-11,1.31E-11
21,3.34E-12,3.28E-12,3.28E-12,3.28E-12,3.28E-12,3.28E-12,3.28E-12,3.28E-12,3.28E-12,3.28E-12,3.28E-12,3.28E-12,3.28E-12,3.28E-12
22,9.95E-13,8.20E-13,8.19E-13,8.20E-13,8.19E-13,8.20E-13,8.19E-13,8.20E-13,8.19E-13,8.20E-13,8.19E-13,8.20E-13,8.19E-13,8.20E-13
23,4.19E-13,2.05E-13,2.05E-13,2.05E-13,2.05E-13,2.05E-13,2.05E-13,2.05E-13,2.05E-13,2.05E-13,2.05E-13,2.05E-13,2.05E-13,2.05E-13
24,5.65E-13,5.13E-14,5.14E-14,5.13E-14,5.14E-14,5.13E-14,5.14E-14,5.13E-14,5.14E-14,5.13E-14,5.14E-14,5.13E-14,5.14E-14,5.13E-14
25,1.29E-12,1.28E-14,1.27E-14,1.28E-14,1.27E-14,1.28E-14,1.27E-14,1.28E-14,1.27E-14,1.28E-14,1.27E-14,1.28E-14,1.27E-14,1.28E-14
26,1.88E-12,3.21E-15,7.09E-15,3.20E-15,7.09E-15,3.20E-15,7.09E-15,3.20E-15,7.09E-15,3.20E-15,7.09E-15,3.21E-15,7.09E-15,3.21E-15
27,7.83E-13,9.78E-16,8.05E-15,1.05E-15,8.05E-15,1.05E-15,8.05E-15,1.05E-15,8.05E-15,1.05E-15,8.04E-15,1.05E-15,8.04E-15,1.05E-15
