n,example 1,,,,,,example 2,,,,,
,double,,,float,,,double,,,float,,
,ord,Kahan,Neumaier,ord,Kahan,Neumaier,ord,Kahan,Neumaier,ord,Kahan,Neumaier
15,2E-10,2E-10,2E-10,8E-07,6E-08,6E-08,1E-08,1E-08,1E-08,6E-06,5E-08,5E-08
16,5E-11,5E-11,5E-11,6E-07,6E-08,6E-08,3E-09,3E-09,3E-09,1E-05,2E-07,2E-07
17,1E-11,1E-11,1E-11,2E-06,6E-08,6E-08,8E-10,8E-10,8E-10,3E-05,2E-07,2E-07
18,3E-12,3E-12,3E-12,2E-05,6E-08,6E-08,2E-10,2E-10,2E-10,2E-04,8E-08,9E-08
19,7E-13,7E-13,7E-13,1E-04,6E-08,6E-08,5E-11,5E-11,5E-11,4E-04,3E-08,8E-08
20,2E-13,2E-13,2E-13,2E-04,6E-08,6E-08,1E-11,1E-11,1E-11,3E-03,3E-08,5E-07
21,5E-14,5E-14,5E-14,8E-04,6E-08,5E-08,3E-12,3E-12,3E-12,5E-03,3E-08,2E-06
22,3E-14,1E-14,1E-14,4E-03,6E-08,3E-07,1E-12,8E-13,8E-13,8E-03,3E-08,1E-05
23,1E-13,3E-15,3E-15,3E-02,6E-08,4E-06,4E-13,2E-13,2E-13,4E-02,3E-08,9E-05
24,6E-14,7E-16,7E-16,3E-02,6E-08,2E-04,6E-13,5E-14,5E-14,5E-02,3E-08,4E-04
25,2E-13,2E-16,2E-16,4E-01,7E-08,2E-02,1E-12,1E-14,1E-14,2E-01,3E-08,3E-03
26,2E-13,1E-16,1E-16,7E-01,6E-08,1E-01,2E-12,3E-15,3E-15,2E-01,3E-08,7E-03
27,4E-13,1E-16,1E-16,9E-01,6E-08,7E-01,8E-13,1E-15,1E-15,1E-01,3E-08,9E-03
28,1E-13,1E-16,1E-16,1E+00,4E-01,9E-01,7E-13,5E-16,5E-16,3E-01,1E-07,3E-02
29,2E-13,1E-16,1E-16,1E+00,7E-01,1E+00,9E-12,1E-16,1E-16,8E-01,3E+00,3E-01
30,6E-14,1E-16,1E-16,1E+00,1E+00,1E+00,8E-12,3E-16,3E-16,1E+00,6E+01,7E-01
