name,n,s,r,bsize,mean,std_dev
example1_double_sycl_col,15,256,128,4,0.0002869,3.21534903047167e-05
example1_double_sycl_col,16,256,256,4,0.0003461,3.005318414995357e-05
example1_double_sycl_col,17,512,256,4,0.00051166,6.2631937474716e-05
example1_double_sycl_col,18,512,512,4,0.0006554999999999,7.271646081506846e-05
example1_double_sycl_col,19,1024,512,4,0.0008825199999999,0.0001057166486222
example1_double_sycl_col,20,1024,1024,4,0.00110708,0.0001306281277332
example1_double_sycl_col,21,2048,1024,4,0.00158354,0.0001779320221033
example1_double_sycl_col,22,2048,2048,8,0.0028367199999999,0.0002906272625103
example1_double_sycl_col,23,2048,4096,64,0.00514878,0.0005194706603252
example1_double_sycl_col,24,4096,4096,64,0.00776624,0.0006406637361808
example1_double_sycl_col,25,4096,8192,32,0.01163736,0.0008227848867084
example1_double_sycl_col,26,8192,8192,32,0.02144142,0.0020124093701484
example1_double_sycl_col,27,16384,8192,128,0.0350464,0.0034284081389687
example1_double_sycl_col,28,32768,8192,32,0.04648316,0.0026136425856865
example1_double_sycl_col,29,16384,32768,64,0.0914052799999999,0.0001164109609819
example1_double_sycl_col_Kahan,15,256,128,4,0.0003101,3.266168572327085e-05
example1_double_sycl_col_Kahan,16,256,256,4,0.00037906,3.6629646741514765e-05
example1_double_sycl_col_Kahan,17,512,256,4,0.00050806,6.060760712003342e-05
example1_double_sycl_col_Kahan,18,512,512,4,0.00064378,7.255266630355566e-05
example1_double_sycl_col_Kahan,19,1024,512,4,0.00088588,9.632357034538136e-05
example1_double_sycl_col_Kahan,20,1024,1024,4,0.0011865,0.0001563283109878
example1_double_sycl_col_Kahan,21,2048,1024,4,0.0016374199999999,0.0001903051352165
example1_double_sycl_col_Kahan,22,2048,2048,4,0.002798,0.0003110445863439
example1_double_sycl_col_Kahan,23,2048,4096,8,0.00481806,0.0004647448459496
example1_double_sycl_col_Kahan,24,4096,4096,32,0.00757004,0.0007353948255105
example1_double_sycl_col_Kahan,25,4096,8192,32,0.01203964,0.0012313944271036
example1_double_sycl_col_Kahan,26,8192,8192,32,0.02216202,0.0018299728389865
