name,n,s,r,bsize,mean,std_dev
example1_double_acc_col_cpu,15,256,128.0,0.0,0.0013544,0.0043986777419528
example1_double_acc_col_cpu,16,512,128.0,0.0,0.00108964,0.0038567817913543
example1_double_acc_col_cpu,17,1024,128.0,0.0,0.0012274599999999,0.0040683020888476
example1_double_acc_col_cpu,18,1024,256.0,0.0,0.00111422,0.0031910833314351
example1_double_acc_col_cpu,19,2048,256.0,0.0,0.00131078,0.0033284351859916
example1_double_acc_col_cpu,20,4096,256.0,0.0,0.00180722,0.0034982615874582
example1_double_acc_col_cpu,21,4096,512.0,0.0,0.00175906,0.0011259857977499
example1_double_acc_col_cpu,22,8192,512.0,0.0,0.0031125,0.0012409705591074
example1_double_acc_col_cpu,23,8192,1024.0,0.0,0.00526536,0.0029340725458805
example1_double_acc_col_cpu,24,16384,1024.0,0.0,0.00685558,0.0007814320733794
example1_double_acc_col_cpu,25,16384,2048.0,0.0,0.0167077,0.0012019872023835
example1_double_acc_col_cpu,26,32768,2048.0,0.0,0.03008194,0.0010458422132912
example1_double_acc_col_cpu,27,32768,4096.0,0.0,0.0610782199999999,0.0017155447553926
example1_double_acc_col_cpu,28,65536,4096.0,0.0,0.11249096,0.0029169763276938
example1_double_acc_col_cpu,29,65536,8192.0,0.0,0.21941714,0.0066097872515393
example1_double_acc_col_gpu,15,128,256.0,0.0,0.00093652,0.003409491722488
example1_double_acc_col_gpu,16,256,256.0,0.0,0.00049734,0.0001151856726493
example1_double_acc_col_gpu,17,1024,128.0,0.0,0.0008192,0.0032257676004704
example1_double_acc_col_gpu,18,1024,256.0,0.0,0.00134638,0.0036505047953421
example1_double_acc_col_gpu,19,2048,256.0,0.0,0.0018028,0.0048607183226602
example1_double_acc_col_gpu,20,2048,512.0,0.0,0.0019989599999999,0.0033102203882484
example1_double_acc_col_gpu,21,4096,512.0,0.0,0.00220322,0.0022921258939852
example1_double_acc_col_gpu,22,8192,512.0,0.0,0.00283872,0.000865570238841
example1_double_acc_col_gpu,23,8192,1024.0,0.0,0.00463814,0.0016710920297328
example1_double_acc_col_gpu,24,16384,1024.0,0.0,0.00732812,0.0017591991642766
example1_double_acc_col_gpu,25,16384,2048.0,0.0,0.01697788,0.0019273296493186
example1_double_acc_col_gpu,26,32768,2048.0,0.0,0.03027652,0.0011956233151945
example1_double_acc_col_gpu,27,32768,4096.0,0.0,0.06061928,0.0021653513834658
example1_double_acc_col_gpu,28,65536,4096.0,0.0,0.11253594,0.0029127070402718
