name,n,arg1,arg2,arg3,mean,std
example1_double_sycl_col,1048576,4096,256,8,0.00401468,0.0002216111173811883
example1_double_sycl_col,131072,256,512,8,0.0038442199999999998,0.00024221800688046063
example1_double_sycl_col,134217728,8192,16384,4,0.0740568,0.001225630333455284
example1_double_sycl_col,16777216,16384,1024,8,0.0084651,0.00020987958160695422
example1_double_sycl_col,2097152,4096,512,8,0.00429314,0.00038101277551027185
example1_double_sycl_col,262144,1024,256,16,0.0039472000000000005,0.0002688010416646482
example1_double_sycl_col,268435456,65536,4096,32,0.15007608,0.001963362191626953
example1_double_sycl_col,32768,128,256,16,0.00387432,0.0002070020644676704
example1_double_sycl_col,33554432,16384,2048,4,0.0179959,0.0005654071767409787
example1_double_sycl_col,4194304,4096,1024,16,0.00457682,0.0003438852258696622
example1_double_sycl_col,524288,2048,256,8,0.00403576,0.00020414736174176364
example1_double_sycl_col,536870912,65536,8192,64,0.29738584,0.004221702975659689
example1_double_sycl_col,65536,1024,64,8,0.0038891999999999998,0.0001926435854639551
example1_double_sycl_col,67108864,32768,2048,4,0.03689734,0.0008414283436817551
example1_double_sycl_col,8388608,2048,4096,32,0.00556346,0.00020214282786471286
example1_double_sycl_col_Kahan,1048576,4096,256,8,0.00424134,0.00023567953077110852
example1_double_sycl_col_Kahan,131072,128,1024,16,0.00409192,0.0002628807318608068
example1_double_sycl_col_Kahan,134217728,8192,16384,4,0.0743303,0.0012536148751119871
example1_double_sycl_col_Kahan,16777216,4096,4096,64,0.0086733,0.0007799611777361165
example1_double_sycl_col_Kahan,2097152,4096,512,16,0.0044684600000000005,0.00029396120874172836
example1_double_sycl_col_Kahan,262144,2048,128,4,0.0041361,0.00020986003596177514
example1_double_sycl_col_Kahan,268435456,16384,16384,4,0.15050138000000002,0.0018357329058533145
example1_double_sycl_col_Kahan,32768,512,64,8,0.00399606,0.00022327428085159285
example1_double_sycl_col_Kahan,33554432,4096,8192,64,0.01742412,0.0009604876023591953
example1_double_sycl_col_Kahan,4194304,2048,2048,64,0.004638,0.0003629641012214709
example1_double_sycl_col_Kahan,524288,2048,256,8,0.0041798600000000005,0.0002291714454912991
example1_double_sycl_col_Kahan,536870912,65536,8192,64,0.29563682,0.0038553960737265514
example1_double_sycl_col_Kahan,65536,1024,64,4,0.00408466,0.0001574755711537636
example1_double_sycl_col_Kahan,67108864,32768,2048,4,0.03704792,0.0006681690132025605
example1_double_sycl_col_Kahan,8388608,4096,2048,32,0.00520894,0.00019630613430900943
example1_double_sycl_col_neumaier,1048576,4096,256,4,0.00444594,0.00032626103296693723
example1_double_sycl_col_neumaier,131072,1024,128,8,0.00424482,0.00024401912688499282
example1_double_sycl_col_neumaier,134217728,8192,16384,4,0.0737445,0.0009932714705888366
example1_double_sycl_col_neumaier,16777216,16384,1024,8,0.00859124,0.00024378935035587393
example1_double_sycl_col_neumaier,2097152,4096,512,32,0.00461246,0.00024266321753174132
example1_double_sycl_col_neumaier,262144,256,1024,4,0.00427938,0.00029750965616296245
example1_double_sycl_col_neumaier,268435456,8192,32768,4,0.15002666,0.0027202111158316097
example1_double_sycl_col_neumaier,32768,512,64,8,0.00419716,0.0002418719816560076
example1_double_sycl_col_neumaier,33554432,4096,8192,64,0.01740808,0.0008244618489706873
example1_double_sycl_col_neumaier,4194304,2048,2048,64,0.0048151,0.0003617779367377231
example1_double_sycl_col_neumaier,524288,2048,256,8,0.0044167,0.0002230590889043914
example1_double_sycl_col_neumaier,536870912,65536,8192,64,0.29521391999999996,0.00447358095088059
example1_double_sycl_col_neumaier,65536,256,256,16,0.0041604400000000005,0.00024225279088975946
example1_double_sycl_col_neumaier,67108864,32768,2048,4,0.03660326,0.0006396557049040737
example1_double_sycl_col_neumaier,8388608,2048,4096,64,0.005346299999999999,0.0002846093097276923
example1_double_sycl_row,1048576,4096,256,16,0.00861702,0.0020121630608042947
example1_double_sycl_row,131072,1024,128,16,0.00458422,0.00039569965367481356
example1_double_sycl_row,134217728,16384,8192,128,0.4207395,0.04876659243084684
example1_double_sycl_row,16777216,8192,2048,64,0.0452339,0.002189466408297059
example1_double_sycl_row,2097152,2048,1024,32,0.0106314,0.0022131125002528697
example1_double_sycl_row,262144,2048,128,16,0.00646424,0.0008383977079731874
example1_double_sycl_row,268435456,32768,8192,128,0.8605149799999999,0.0987723424569255
example1_double_sycl_row,32768,256,128,16,0.0033397599999999998,0.0002278946731295322
example1_double_sycl_row,33554432,16384,2048,64,0.08989739999999999,0.005859169893144819
example1_double_sycl_row,4194304,2048,2048,64,0.012482459999999999,0.001089882791114415
example1_double_sycl_row,524288,512,1024,32,0.0080839,0.0018735723952941247
example1_double_sycl_row,536870912,65536,8192,128,1.6996019599999999,0.19464042393456435
example1_double_sycl_row,65536,512,128,16,0.0036915,0.0002326566402338389
example1_double_sycl_row,67108864,32768,2048,64,0.17039898,0.011420784903670954
example1_double_sycl_row,8388608,4096,2048,64,0.02227846,0.0015509198877979953
example1_double_sycl_row_kahan,1048576,4096,256,16,0.00932822,0.002091044395726203
example1_double_sycl_row_kahan,131072,1024,128,16,0.00461624,0.0003855824409584936
example1_double_sycl_row_kahan,134217728,32768,4096,64,0.41592648,0.05831303714392324
example1_double_sycl_row_kahan,16777216,4096,4096,64,0.04633838,0.0020006621647722087
example1_double_sycl_row_kahan,2097152,2048,1024,32,0.0103221,0.002314795827819334
example1_double_sycl_row_kahan,262144,2048,128,16,0.0064620599999999995,0.0008885129840678427
example1_double_sycl_row_kahan,268435456,32768,8192,128,0.84387068,0.09811188622189447
example1_double_sycl_row_kahan,32768,256,128,16,0.00333126,0.00019245723723275595
example1_double_sycl_row_kahan,33554432,16384,2048,64,0.09005434,0.009415148184230584
example1_double_sycl_row_kahan,4194304,2048,2048,64,0.01248714,0.0012090077903565623
example1_double_sycl_row_kahan,524288,1024,512,32,0.00792702,0.0015539923894699783
example1_double_sycl_row_kahan,536870912,65536,8192,128,1.70301298,0.1765981848363379
example1_double_sycl_row_kahan,65536,512,128,16,0.00366248,0.00020826094698914716
example1_double_sycl_row_kahan,67108864,32768,2048,64,0.16997266,0.011999398053967167
example1_double_sycl_row_kahan,8388608,8192,1024,32,0.021750039999999998,0.0021499131065497246
example1_float_sycl_col,1048576,4096,256,8,0.0052355399999999995,0.00026774845109024344
example1_float_sycl_col,131072,128,1024,16,0.0050312,0.00021822044648773446
example1_float_sycl_col,134217728,2048,65536,32,0.04096186,0.0006403711618256703
example1_float_sycl_col,16777216,16384,1024,8,0.0069701400000000005,0.00021899762462601442
example1_float_sycl_col,2097152,4096,512,8,0.00536192,0.0003025354652848192
example1_float_sycl_col,262144,512,512,32,0.005059200000000001,0.0001886683733486904
example1_float_sycl_col,268435456,4096,65536,16,0.08337773999999999,0.0012263259015183093
example1_float_sycl_col,32768,256,128,8,0.00498624,0.00019742614842424645
example1_float_sycl_col,33554432,4096,8192,4,0.00980282,0.00030709811567813483
example1_float_sycl_col,4194304,8192,512,8,0.0055187,0.0004232283240589105
example1_float_sycl_col,524288,1024,512,16,0.00513564,0.00021410046850075983
example1_float_sycl_col,536870912,4096,131072,16,0.16052816,0.0017222712739938765
example1_float_sycl_col,65536,1024,64,8,0.00501178,0.000184389150373633
example1_float_sycl_col,67108864,4096,16384,4,0.02088132,0.00061511171840768
example1_float_sycl_col,8388608,8192,1024,16,0.0058725800000000005,0.0003402341384687783
example1_float_sycl_col_Kahan,1048576,4096,256,8,0.0053429,0.00020471366264485005
example1_float_sycl_col_Kahan,131072,128,1024,16,0.005213100000000001,0.00015435213517361234
example1_float_sycl_col_Kahan,134217728,2048,65536,32,0.03895934,0.000649943281983833
example1_float_sycl_col_Kahan,16777216,4096,4096,32,0.0071126,0.0003538255652327073
example1_float_sycl_col_Kahan,2097152,4096,512,16,0.00552396,0.00027187226592573167
example1_float_sycl_col_Kahan,262144,1024,256,16,0.0052139199999999995,0.00017687304798086329
example1_float_sycl_col_Kahan,268435456,8192,32768,16,0.07970204,0.0011099544200974532
example1_float_sycl_col_Kahan,32768,256,128,16,0.0051282,0.0002065089808789764
example1_float_sycl_col_Kahan,33554432,8192,4096,16,0.010443000000000001,0.0003381909254264761
example1_float_sycl_col_Kahan,4194304,8192,512,16,0.00575832,0.00030109713938684127
example1_float_sycl_col_Kahan,524288,512,1024,16,0.00530732,0.00022890889730481427
example1_float_sycl_col_Kahan,536870912,4096,131072,16,0.15494686,0.001502072201449499
example1_float_sycl_col_Kahan,65536,512,128,16,0.005145159999999999,0.00017644231988074162
example1_float_sycl_col_Kahan,67108864,2048,32768,64,0.019677880000000002,0.0005777554612993502
example1_float_sycl_col_Kahan,8388608,8192,1024,16,0.0061601799999999995,0.0004207795336258255
example1_float_sycl_col_neumaier,1048576,4096,256,8,0.00547628,0.0003180311908718183
example1_float_sycl_col_neumaier,131072,256,512,16,0.005304919999999999,0.00018534654139789933
example1_float_sycl_col_neumaier,134217728,2048,65536,32,0.03957248,0.0006188618664903485
example1_float_sycl_col_neumaier,16777216,2048,8192,64,0.00724494,0.00024648553461716614
example1_float_sycl_col_neumaier,2097152,4096,512,8,0.005713279999999999,0.0002576117978031032
example1_float_sycl_col_neumaier,262144,512,512,32,0.00531692,0.00017296240478609142
example1_float_sycl_col_neumaier,268435456,4096,65536,16,0.08090678000000001,0.0013218931274532639
example1_float_sycl_col_neumaier,32768,512,64,8,0.0051936199999999995,0.00022820702112291797
example1_float_sycl_col_neumaier,33554432,4096,8192,4,0.01024368,0.0003835375850991311
example1_float_sycl_col_neumaier,4194304,8192,512,8,0.005881180000000001,0.00043382201231305335
example1_float_sycl_col_neumaier,524288,512,1024,32,0.0053817000000000005,0.00015532970201004884
example1_float_sycl_col_neumaier,536870912,4096,131072,16,0.15645277999999999,0.0015346971686921857
example1_float_sycl_col_neumaier,65536,256,256,16,0.0052176,0.00019058203011848115
example1_float_sycl_col_neumaier,67108864,8192,8192,16,0.019724699999999998,0.000674373579323654
example1_float_sycl_col_neumaier,8388608,2048,4096,64,0.00626974,0.0004007690469330084
example1_float_sycl_row,1048576,4096,256,16,0.00871768,0.0013446961031385188
example1_float_sycl_row,131072,1024,128,16,0.00460408,0.00023606751369133406
example1_float_sycl_row,134217728,16384,8192,128,0.22139474,0.01934314804150323
example1_float_sycl_row,16777216,8192,2048,32,0.0261338,0.003378950791145024
example1_float_sycl_row,2097152,4096,512,32,0.010303200000000002,0.002100502855246324
example1_float_sycl_row,262144,2048,128,16,0.00560438,0.0003313089617913546
example1_float_sycl_row,268435456,65536,4096,64,0.44896168000000003,0.043695861811930754
example1_float_sycl_row,32768,256,128,16,0.00384608,0.0002066922033816842
example1_float_sycl_row,33554432,8192,4096,64,0.054479360000000004,0.0020847284535156995
example1_float_sycl_row,4194304,2048,2048,64,0.0122906,0.002141053974669714
example1_float_sycl_row,524288,1024,512,32,0.01104824,0.001974425925970092
example1_float_sycl_row,536870912,65536,8192,128,1.01315522,0.11474144448303167
example1_float_sycl_row,65536,512,128,16,0.00408736,0.0002383535155338535
example1_float_sycl_row,67108864,16384,4096,64,0.1001134,0.0041065071756510385
example1_float_sycl_row,8388608,2048,4096,64,0.01630722,0.0029676492675351713
example1_float_sycl_row_kahan,1048576,4096,256,16,0.008900360000000001,0.0017491472296580434
example1_float_sycl_row_kahan,131072,1024,128,16,0.00457298,0.00023418843712197363
example1_float_sycl_row_kahan,134217728,16384,8192,128,0.21929624,0.016278903857396766
example1_float_sycl_row_kahan,16777216,8192,2048,32,0.02591446,0.0030200103406364392
example1_float_sycl_row_kahan,2097152,4096,512,32,0.010582260000000001,0.002314040840748725
example1_float_sycl_row_kahan,262144,2048,128,16,0.0055525800000000005,0.00039271073063921195
example1_float_sycl_row_kahan,268435456,65536,4096,64,0.46239584,0.056651495780587834
example1_float_sycl_row_kahan,32768,256,128,16,0.0038518800000000002,0.00021124940671333176
example1_float_sycl_row_kahan,33554432,8192,4096,64,0.05491888,0.0031183467796842834
example1_float_sycl_row_kahan,4194304,2048,2048,64,0.011445460000000001,0.002089401166138573
example1_float_sycl_row_kahan,524288,2048,256,16,0.01095104,0.0022460668749016833
example1_float_sycl_row_kahan,536870912,65536,8192,128,1.0128664600000001,0.11585760133310904
example1_float_sycl_row_kahan,65536,512,128,16,0.0040656,0.00018805350953646024
example1_float_sycl_row_kahan,67108864,16384,4096,64,0.10322611999999999,0.0057490142567297306
example1_float_sycl_row_kahan,8388608,4096,2048,64,0.01559946,0.002345286529729494
example2_double_sycl_col,1048576,4096,256,8,0.00411792,0.00026660747268183587
example2_double_sycl_col,131072,512,256,8,0.00393316,0.0002449472546305029
example2_double_sycl_col,134217728,8192,16384,4,0.07315072,0.0011262012369565445
example2_double_sycl_col,16777216,16384,1024,8,0.00833412,0.00020042298536152137
example2_double_sycl_col,2097152,2048,1024,16,0.00434454,0.00034180291552475756
example2_double_sycl_col,262144,1024,256,4,0.00400632,0.00024201454164439573
example2_double_sycl_col,268435456,16384,16384,4,0.1490207,0.001752687641705656
example2_double_sycl_col,32768,256,128,4,0.00392542,0.00024191844552599585
example2_double_sycl_col,33554432,4096,8192,64,0.0175901,0.0008631286055947385
example2_double_sycl_col,4194304,4096,1024,16,0.004671,0.0003611238693019224
example2_double_sycl_col,524288,512,1024,32,0.00409452,0.0002362605998054017
example2_double_sycl_col,536870912,65536,8192,64,0.29737102,0.004148620279572662
example2_double_sycl_col,65536,128,512,4,0.00393094,0.00021071602033184328
example2_double_sycl_col,67108864,16384,4096,8,0.03648474,0.0006535039562361716
example2_double_sycl_col,8388608,2048,4096,32,0.00557914,0.0001810575520182937
example2_double_sycl_col_Kahan,1048576,4096,256,8,0.0042063,0.00016429841565807957
example2_double_sycl_col_Kahan,131072,512,256,16,0.00409792,0.0002610364616020419
example2_double_sycl_col_Kahan,134217728,8192,16384,4,0.0734132,0.0009417075025761268
example2_double_sycl_col_Kahan,16777216,4096,4096,64,0.00852124,0.0005611960463590055
example2_double_sycl_col_Kahan,2097152,2048,1024,32,0.0045298,0.00023330229142396667
example2_double_sycl_col_Kahan,262144,512,512,8,0.0041153,0.00027120037399889927
example2_double_sycl_col_Kahan,268435456,16384,16384,4,0.14956322,0.0024095448066184734
example2_double_sycl_col_Kahan,32768,32,1024,8,0.00404096,0.00025215244498161043
example2_double_sycl_col_Kahan,33554432,4096,8192,64,0.016906440000000002,0.0006527314714931027
