function,n,s,r,mean,standard_deviation,coefficient_of_variation
example1_double_acc_col,32768,512,64,0.000114,"0,000117","1,03"
example1_double_acc_col,65536,512,128,0.000149,"0,0000647","0,44"
example1_double_acc_col,131072,1024,128,0.000286,"0,0000979","0,34"
example1_double_acc_col,262144,512,512,0.000521,"0,000219","0,42"
example1_double_acc_col,524288,2048,256,0.00104,"0,0011","1,05"
example1_double_acc_col,1048576,1024,1024,0.00161,"0,000317","0,2"
example1_double_acc_col,2097152,1024,2048,0.00263,"0,000381","0,14"
example1_double_acc_col,4194304,1024,4096,0.00544,"0,000862","0,16"
example1_double_acc_col,8388608,1024,8192,0.0133,"0,00228","0,17"
example1_double_acc_col,16777216,16384,1024,0.0332,"0,0103","0,31"
example1_double_acc_col,33554432,2048,16384,0.0641,"0,00645","0,1"
example1_double_acc_col,67108864,32768,2048,0.121,"0,0138","0,11"
example1_double_acc_col,134217728,32768,4096,0.236,"0,0112","0,05"
example1_double_acc_col,268435456,65536,4096,0.464,"0,0104","0,02"
example1_double_acc_col,536870912,65536,8192,0.917,"0,00766","0,01"
example1_double_acc_col,1073741824,131072,8192,1.82,"0,00905",0
example1_double_acc_col_kahan,32768,512,64,8.61e-05,"0,00000899","0,1"
example1_double_acc_col_kahan,65536,512,128,0.00015,"0,0000683","0,46"
example1_double_acc_col_kahan,131072,512,256,0.000274,"0,000119","0,43"
example1_double_acc_col_kahan,262144,2048,128,0.000509,"0,000148","0,29"
example1_double_acc_col_kahan,524288,1024,512,0.000973,"0,000192","0,2"
example1_double_acc_col_kahan,1048576,4096,256,0.00162,"0,000179","0,11"
example1_double_acc_col_kahan,2097152,1024,2048,0.00276,"0,000278","0,1"
example1_double_acc_col_kahan,4194304,1024,4096,0.0059,"0,000855","0,15"
example1_double_acc_col_kahan,8388608,1024,8192,0.0152,"0,00444","0,29"
example1_double_acc_col_kahan,16777216,1024,16384,0.032,"0,00299","0,09"
example1_double_acc_col_kahan,33554432,16384,2048,0.0664,"0,0131","0,2"
example1_double_acc_col_kahan,67108864,32768,2048,0.124,"0,0143","0,12"
example1_double_acc_col_kahan,134217728,32768,4096,0.245,"0,0168","0,07"
example1_double_acc_col_kahan,268435456,65536,4096,0.473,"0,0137","0,03"
example1_double_acc_col_kahan,536870912,65536,8192,0.934,"0,0124","0,01"
example1_double_acc_col_kahan,1073741824,131072,8192,1.85,"0,0178","0,01"
example1_double_acc_col_neumaier,32768,512,64,8.98e-05,"0,0000249","0,28"
example1_double_acc_col_neumaier,65536,512,128,0.000132,"0,00000885","0,07"
example1_double_acc_col_neumaier,131072,512,256,0.000279,"0,000116","0,42"
example1_double_acc_col_neumaier,262144,512,512,0.000473,"0,000118","0,25"
example1_double_acc_col_neumaier,524288,512,1024,0.000895,"0,000174","0,19"
example1_double_acc_col_neumaier,1048576,2048,512,0.00158,"0,000229","0,14"
example1_double_acc_col_neumaier,2097152,1024,2048,0.00284,"0,000388","0,14"
example1_double_acc_col_neumaier,4194304,1024,4096,0.00572,"0,000729","0,13"
example1_double_acc_col_neumaier,8388608,1024,8192,0.0152,"0,00495","0,32"
example1_double_acc_col_neumaier,16777216,2048,8192,0.0323,"0,00206","0,06"
example1_double_acc_col_neumaier,33554432,16384,2048,0.0646,"0,0153","0,24"
example1_double_acc_col_neumaier,67108864,32768,2048,0.122,"0,0107","0,09"
example1_double_acc_col_neumaier,134217728,32768,4096,0.241,"0,0129","0,05"
example1_double_acc_col_neumaier,268435456,65536,4096,0.472,"0,0122","0,03"
example1_double_acc_col_neumaier,536870912,65536,8192,0.937,"0,0141","0,02"
example1_double_acc_col_neumaier,1073741824,65536,16384,1.85,"0,0144","0,01"
example1_double_acc_row,32768,64,512,0.000233,"0,00015","0,64"
example1_double_acc_row,65536,256,256,0.000315,"0,00015","0,48"
example1_double_acc_row,131072,512,256,0.000511,"0,000031","0,06"
example1_double_acc_row,262144,128,2048,0.002,"0,000546","0,27"
example1_double_acc_row,524288,256,2048,0.00164,"0,00032","0,19"
example1_double_acc_row,1048576,512,2048,0.00288,"0,000371","0,13"
example1_double_acc_row,2097152,256,8192,0.00596,"0,000745","0,12"
example1_double_acc_row,4194304,8192,512,0.018,"0,00416","0,23"
example1_double_acc_row,8388608,4096,2048,0.038,"0,00964","0,25"
example1_double_acc_row,16777216,8192,2048,0.0748,"0,0097","0,13"
example1_double_acc_row,33554432,16384,2048,0.148,"0,0141","0,1"
example1_double_acc_row,67108864,32768,2048,0.289,"0,0141","0,05"
example1_double_acc_row,134217728,16384,8192,0.586,"0,0131","0,02"
example1_double_acc_row,268435456,32768,8192,1.15,"0,0113","0,01"
example1_double_acc_row,536870912,65536,8192,2.29,"0,0117","0,01"
example1_double_acc_row_kahan,32768,64,512,0.000169,"0,000118","0,7"
example1_double_acc_row_kahan,65536,128,512,0.00028,"0,000122","0,44"
example1_double_acc_row_kahan,131072,128,1024,0.000527,"0,000139","0,26"
example1_double_acc_row_kahan,262144,256,1024,0.00197,"0,000231","0,12"
example1_double_acc_row_kahan,524288,512,1024,0.00191,"0,000269","0,14"
example1_double_acc_row_kahan,1048576,1024,1024,0.0038,"0,00219","0,58"
example1_double_acc_row_kahan,2097152,1024,2048,0.00736,"0,000734","0,1"
example1_double_acc_row_kahan,4194304,4096,1024,0.0446,"0,00777","0,17"
example1_double_acc_row_kahan,8388608,4096,2048,0.09,"0,0137","0,15"
example1_double_acc_row_kahan,16777216,16384,1024,0.179,"0,0123","0,07"
example1_double_acc_row_kahan,33554432,16384,2048,0.358,"0,0161","0,05"
example1_double_acc_row_kahan,67108864,32768,2048,0.712,"0,0132","0,02"
example1_double_acc_row_kahan,134217728,32768,4096,1.47,"0,0101","0,01"
example1_double_acc_row_kahan,268435456,65536,4096,2.92,"0,0104",0
example1_double_acc_row_kahan,536870912,65536,8192,5.99,"0,0281",0
example1_double_acc_row_neumaier,32768,32,1024,0.00016,"0,0000933","0,58"
example1_double_acc_row_neumaier,65536,128,512,0.000279,"0,000157","0,56"
example1_double_acc_row_neumaier,131072,64,2048,0.000407,"0,000123","0,3"
