function,n,s,r,mean,standard_deviation,coefficient_of_variation
example1_double_acc_col,32768,512,64,0.000186,"0,00000144","0,008"
example1_double_acc_col,65536,1024,64,0.000277,"0,00000178","0,006"
example1_double_acc_col,131072,512,256,0.000435,"0,00000448","0,01"
example1_double_acc_col,262144,1024,256,0.000609,"0,00000202","0,003"
example1_double_acc_col,524288,1024,512,0.000821,"0,00000476","0,006"
example1_double_acc_col,1048576,2048,512,0.00134,"0,00000349","0,003"
example1_double_acc_col,2097152,2048,1024,0.00191,"0,00000504","0,003"
example1_double_acc_col,4194304,4096,1024,0.00278,"0,00000371","0,001"
example1_double_acc_col,8388608,4096,2048,0.00419,"0,00000626","0,001"
example1_double_acc_col,16777216,8192,2048,0.00608,"0,0000107","0,002"
example1_double_acc_col,33554432,16384,2048,0.0103,"0,000115","0,011"
example1_double_acc_col,67108864,16384,4096,0.0191,"0,0000398","0,002"
example1_double_acc_col,134217728,32768,4096,0.0366,"0,000072","0,002"
example1_double_acc_col,268435456,32768,8192,0.0746,"0,000116","0,002"
example1_double_acc_col,536870912,65536,8192,0.151,"0,000143","0,001"
example1_double_acc_col_kahan,32768,256,128,0.000243,"0,00000168","0,007"
example1_double_acc_col_kahan,65536,512,128,0.000335,"0,00000141","0,004"
example1_double_acc_col_kahan,131072,512,256,0.000442,"0,000000797","0,002"
example1_double_acc_col_kahan,262144,1024,256,0.000615,"0,00000238","0,004"
example1_double_acc_col_kahan,524288,1024,512,0.000861,"0,00000526","0,006"
example1_double_acc_col_kahan,1048576,2048,512,0.00139,"0,00000443","0,003"
example1_double_acc_col_kahan,2097152,2048,1024,0.002,"0,00000571","0,003"
example1_double_acc_col_kahan,4194304,4096,1024,0.00293,"0,00000508","0,002"
example1_double_acc_col_kahan,8388608,4096,2048,0.00435,"0,0000119","0,003"
example1_double_acc_col_kahan,16777216,8192,2048,0.00633,"0,0000194","0,003"
example1_double_acc_col_kahan,33554432,16384,2048,0.0107,"0,0000842","0,008"
example1_double_acc_col_kahan,67108864,16384,4096,0.0192,"0,0000415","0,002"
example1_double_acc_col_kahan,134217728,32768,4096,0.0367,"0,0000781","0,002"
example1_double_acc_col_kahan,268435456,32768,8192,0.074,"0,000121","0,002"
example1_double_acc_col_kahan,536870912,65536,8192,0.151,"0,000118","0,001"
example1_double_acc_col_neumaier,32768,512,64,0.000287,"0,00000176","0,006"
example1_double_acc_col_neumaier,65536,1024,64,0.000448,"0,00000263","0,006"
example1_double_acc_col_neumaier,131072,512,256,0.000618,"0,00000107","0,002"
example1_double_acc_col_neumaier,262144,512,512,0.000876,"0,0000016","0,002"
example1_double_acc_col_neumaier,524288,1024,512,0.0012,"0,00000752","0,006"
example1_double_acc_col_neumaier,1048576,1024,1024,0.00197,"0,00000286","0,001"
example1_double_acc_col_neumaier,2097152,2048,1024,0.00264,"0,00000451","0,002"
example1_double_acc_col_neumaier,4194304,4096,1024,0.00397,"0,0000024","0,001"
example1_double_acc_col_neumaier,8388608,4096,2048,0.00538,"0,00000416","0,001"
example1_double_acc_col_neumaier,16777216,8192,2048,0.0081,"0,00000529","0,001"
example1_double_acc_col_neumaier,33554432,8192,4096,0.0129,"0,000165","0,013"
example1_double_acc_col_neumaier,67108864,16384,4096,0.0201,"0,000035","0,002"
example1_double_acc_col_neumaier,134217728,32768,4096,0.0375,"0,0000908","0,002"
example1_double_acc_col_neumaier,268435456,32768,8192,0.0801,"0,000184","0,002"
example1_double_acc_col_neumaier,536870912,65536,8192,0.16,"0,000129","0,001"
example1_double_acc_row,32768,256,128,0.000194,"0,00000199","0,01"
example1_double_acc_row,65536,256,256,0.000258,"0,000002","0,008"
example1_double_acc_row,131072,512,256,0.000338,"0,0000014","0,004"
example1_double_acc_row,262144,512,512,0.000469,"0,00000223","0,005"
example1_double_acc_row,524288,1024,512,0.000773,"0,00000742","0,01"
example1_double_acc_row,1048576,1024,1024,0.00125,"0,00000419","0,003"
example1_double_acc_row,2097152,1024,2048,0.00189,"0,00000369","0,002"
example1_double_acc_row,4194304,2048,2048,0.00268,"0,00000676","0,003"
example1_double_acc_row,8388608,2048,4096,0.00435,"0,00000944","0,002"
example1_double_acc_row,16777216,2048,8192,0.00749,"0,0000119","0,002"
example1_double_acc_row,33554432,4096,8192,0.0131,"0,0000577","0,004"
example1_double_acc_row,67108864,4096,16384,0.024,"0,0000546","0,002"
example1_double_acc_row,134217728,4096,32768,0.048,"0,0000388","0,001"
example1_double_acc_row,268435456,8192,32768,0.1,"0,00023","0,002"
example1_double_acc_row_kahan,32768,256,128,0.000226,"0,0000015","0,007"
example1_double_acc_row_kahan,65536,256,256,0.000304,"0,00000123","0,004"
example1_double_acc_row_kahan,131072,512,256,0.0004,"0,00000162","0,004"
example1_double_acc_row_kahan,262144,512,512,0.000566,"0,00000104","0,002"
example1_double_acc_row_kahan,524288,1024,512,0.000901,"0,00000598","0,007"
example1_double_acc_row_kahan,1048576,1024,1024,0.00142,"0,00000272","0,002"
example1_double_acc_row_kahan,2097152,2048,1024,0.00214,"0,00000391","0,002"
example1_double_acc_row_kahan,4194304,2048,2048,0.00302,"0,00000514","0,002"
example1_double_acc_row_kahan,8388608,2048,4096,0.00494,"0,0000107","0,002"
example1_double_acc_row_kahan,16777216,4096,4096,0.00846,"0,0000143","0,002"
example1_double_acc_row_kahan,33554432,4096,8192,0.0144,"0,0000778","0,005"
example1_double_acc_row_kahan,67108864,4096,16384,0.0261,"0,0000242","0,001"
example1_double_acc_row_kahan,134217728,8192,16384,0.0514,"0,000139","0,003"
example1_double_acc_row_kahan,268435456,8192,32768,0.106,"0,000285","0,003"
example1_double_acc_row_neumaier,32768,128,256,0.000293,"0,00000231","0,008"
example1_double_acc_row_neumaier,65536,256,256,0.000378,"0,00000338","0,009"
example1_double_acc_row_neumaier,131072,512,256,0.000538,"0,00000378","0,007"
example1_double_acc_row_neumaier,262144,512,512,0.000722,"0,00000478","0,007"
example1_double_acc_row_neumaier,524288,512,1024,0.00113,"0,00000569","0,005"
example1_double_acc_row_neumaier,1048576,1024,1024,0.0017,"0,00000519","0,003"
example1_double_acc_row_neumaier,2097152,1024,2048,0.00247,"0,00000678","0,003"
example1_double_acc_row_neumaier,4194304,2048,2048,0.00357,"0,00000787","0,002"
example1_double_acc_row_neumaier,8388608,2048,4096,0.00558,"0,0000134","0,002"
example1_double_acc_row_neumaier,16777216,4096,4096,0.00966,"0,0000171","0,002"
example1_double_acc_row_neumaier,33554432,4096,8192,0.0165,"0,000175","0,011"
example1_double_acc_row_neumaier,67108864,4096,16384,0.0288,"0,0000157","0,001"
example1_double_acc_row_neumaier,134217728,8192,16384,0.0564,"0,000123","0,002"
example1_double_acc_row_neumaier,268435456,8192,32768,0.116,"0,000251","0,002"
example1_float_acc_col,32768,512,64,0.000176,"0,0000019","0,011"
example1_float_acc_col,65536,1024,64,0.000275,"0,000000842","0,003"
example1_float_acc_col,131072,512,256,0.00039,"0,00000181","0,005"
example1_float_acc_col,262144,512,512,0.000556,"0,00000217","0,004"
example1_float_acc_col,524288,1024,512,0.000736,"0,00000251","0,003"
example1_float_acc_col,1048576,1024,1024,0.00108,"0,0000126","0,012"
example1_float_acc_col,2097152,2048,1024,0.00172,"0,00000308","0,002"
example1_float_acc_col,4194304,4096,1024,0.00251,"0,00000602","0,002"
example1_float_acc_col,8388608,4096,2048,0.00352,"0,00000745","0,002"
example1_float_acc_col,16777216,8192,2048,0.00521,"0,00000826","0,002"
example1_float_acc_col,33554432,16384,2048,0.00842,"0,00000854","0,001"
example1_float_acc_col,67108864,16384,4096,0.0153,"0,000149","0,01"
example1_float_acc_col,134217728,16384,8192,0.0271,"0,0000231","0,001"
example1_float_acc_col,268435456,32768,8192,0.0486,"0,0000403","0,001"
example1_float_acc_col,536870912,65536,8192,0.0973,"0,0000733","0,001"
example1_float_acc_col,1073741824,65536,16384,0.22,"0,000408","0,002"
example1_float_acc_col_kahan,32768,512,64,0.000173,"0,00000171","0,01"
example1_float_acc_col_kahan,65536,1024,64,0.000267,"0,00000091","0,003"
example1_float_acc_col_kahan,131072,512,256,0.000385,"0,00000202","0,005"
example1_float_acc_col_kahan,262144,512,512,0.00055,"0,00000141","0,003"
example1_float_acc_col_kahan,524288,1024,512,0.000722,"0,00000182","0,003"
example1_float_acc_col_kahan,1048576,1024,1024,0.00107,"0,0000118","0,011"
example1_float_acc_col_kahan,2097152,2048,1024,0.00169,"0,00000373","0,002"
example1_float_acc_col_kahan,4194304,4096,1024,0.00244,"0,00000562","0,002"
example1_float_acc_col_kahan,8388608,4096,2048,0.00346,"0,00000776","0,002"
example1_float_acc_col_kahan,16777216,8192,2048,0.00506,"0,00000424","0,001"
example1_float_acc_col_kahan,33554432,16384,2048,0.00814,"0,00000616","0,001"
example1_float_acc_col_kahan,67108864,16384,4096,0.015,"0,00015","0,01"
example1_float_acc_col_kahan,134217728,16384,8192,0.0265,"0,0000252","0,001"
example1_float_acc_col_kahan,268435456,32768,8192,0.0474,"0,0000441","0,001"
example1_float_acc_col_kahan,536870912,65536,8192,0.095,"0,0000668","0,001"
example1_float_acc_col_kahan,1073741824,65536,16384,0.224,"0,00045","0,002"
example1_float_acc_col_neumaier,32768,512,64,0.000184,"0,00000231","0,013"
example1_float_acc_col_neumaier,65536,1024,64,0.000278,"0,00000172","0,006"
example1_float_acc_col_neumaier,131072,512,256,0.00039,"0,000000948","0,002"
example1_float_acc_col_neumaier,262144,512,512,0.000562,"0,00000249","0,004"
example1_float_acc_col_neumaier,524288,1024,512,0.000734,"0,00000308","0,004"
example1_float_acc_col_neumaier,1048576,1024,1024,0.00109,"0,0000102","0,009"
example1_float_acc_col_neumaier,2097152,2048,1024,0.00172,"0,00000364","0,002"
example1_float_acc_col_neumaier,4194304,4096,1024,0.00247,"0,00000374","0,002"
example1_float_acc_col_neumaier,8388608,4096,2048,0.00352,"0,00000926","0,003"
example1_float_acc_col_neumaier,16777216,8192,2048,0.00515,"0,00000518","0,001"
example1_float_acc_col_neumaier,33554432,16384,2048,0.00825,"0,00000938","0,001"
example1_float_acc_col_neumaier,67108864,16384,4096,0.0153,"0,000134","0,009"
example1_float_acc_col_neumaier,134217728,16384,8192,0.0267,"0,0000221","0,001"
example1_float_acc_col_neumaier,268435456,32768,8192,0.0478,"0,0000498","0,001"
example1_float_acc_col_neumaier,536870912,65536,8192,0.0956,"0,0000642","0,001"
example1_float_acc_col_neumaier,1073741824,65536,16384,0.229,"0,000499","0,002"
example1_float_acc_row,32768,256,128,0.000169,"0,00000167","0,01"
example1_float_acc_row,65536,256,256,0.000224,"0,0000166","0,074"
example1_float_acc_row,131072,512,256,0.000289,"0,00000289","0,01"
example1_float_acc_row,262144,512,512,0.000395,"0,00000139","0,004"
example1_float_acc_row,524288,1024,512,0.000533,"0,00000134","0,003"
example1_float_acc_row,1048576,1024,1024,0.000866,"0,00000281","0,003"
example1_float_acc_row,2097152,1024,2048,0.00152,"0,0000036","0,002"
example1_float_acc_row,4194304,2048,2048,0.00219,"0,00000412","0,002"
example1_float_acc_row,8388608,2048,4096,0.0033,"0,00000472","0,001"
example1_float_acc_row,16777216,2048,8192,0.00566,"0,00000404","0,001"
example1_float_acc_row,33554432,4096,8192,0.0101,"0,00000717","0,001"
example1_float_acc_row,67108864,4096,16384,0.0181,"0,000111","0,006"
example1_float_acc_row,134217728,8192,16384,0.0321,"0,0000416","0,001"
example1_float_acc_row,268435456,8192,32768,0.0631,"0,000111","0,002"
example1_float_acc_row,536870912,8192,65536,0.134,"0,000183","0,001"
example1_float_acc_row_kahan,32768,256,128,0.000174,"0,00000313","0,018"
example1_float_acc_row_kahan,65536,256,256,0.00023,"0,00000234","0,01"
example1_float_acc_row_kahan,131072,512,256,0.000298,"0,00000169","0,006"
example1_float_acc_row_kahan,262144,512,512,0.000412,"0,00000145","0,004"
example1_float_acc_row_kahan,524288,1024,512,0.000549,"0,00000142","0,003"
example1_float_acc_row_kahan,1048576,1024,1024,0.000902,"0,00000321","0,004"
example1_float_acc_row_kahan,2097152,1024,2048,0.00159,"0,00000315","0,002"
example1_float_acc_row_kahan,4194304,2048,2048,0.00226,"0,00000328","0,001"
example1_float_acc_row_kahan,8388608,2048,4096,0.00344,"0,00000603","0,002"
example1_float_acc_row_kahan,16777216,2048,8192,0.00594,"0,00000487","0,001"
example1_float_acc_row_kahan,33554432,4096,8192,0.0103,"0,0000256","0,002"
example1_float_acc_row_kahan,67108864,8192,8192,0.0185,"0,000268","0,014"
example1_float_acc_row_kahan,134217728,8192,16384,0.0328,"0,0000334","0,001"
example1_float_acc_row_kahan,268435456,8192,32768,0.0641,"0,000108","0,002"
example1_float_acc_row_kahan,536870912,8192,65536,0.136,"0,000162","0,001"
example1_float_acc_row_neumaier,32768,256,128,0.000177,"0,00000174","0,01"
example1_float_acc_row_neumaier,65536,256,256,0.00023,"0,00000149","0,006"
example1_float_acc_row_neumaier,131072,512,256,0.000303,"0,00000226","0,007"
example1_float_acc_row_neumaier,262144,512,512,0.000413,"0,00000169","0,004"
example1_float_acc_row_neumaier,524288,1024,512,0.000562,"0,0000027","0,005"
example1_float_acc_row_neumaier,1048576,1024,1024,0.000899,"0,0000032","0,004"
example1_float_acc_row_neumaier,2097152,1024,2048,0.00157,"0,00000259","0,002"
example1_float_acc_row_neumaier,4194304,2048,2048,0.00225,"0,00000484","0,002"
example1_float_acc_row_neumaier,8388608,2048,4096,0.00337,"0,00000454","0,001"
example1_float_acc_row_neumaier,16777216,2048,8192,0.00579,"0,00000412","0,001"
example1_float_acc_row_neumaier,33554432,4096,8192,0.0102,"0,0000355","0,003"
example1_float_acc_row_neumaier,67108864,8192,8192,0.0183,"0,0000251","0,001"
example1_float_acc_row_neumaier,134217728,8192,16384,0.0326,"0,0000321","0,001"
example1_float_acc_row_neumaier,268435456,8192,32768,0.0636,"0,0000825","0,001"
