output,repetition,arg1,arg2
"1,91490860628607E-10",0,16,2048
"1,91490860628607E-10",0,32,1024
"1,91490860628607E-10",0,64,512
"1,91490860628607E-10",0,128,256
"1,91490860628607E-10",0,256,128
"1,91490860628607E-10",0,512,64
"1,91490860628607E-10",0,1024,32
"1,91490860628607E-10",0,2048,16
"4,78604103086987E-11",0,32,2048
"4,78604103086987E-11",0,64,1024
"4,78604103086987E-11",0,128,512
"4,78604103086987E-11",0,256,256
"4,78604103086987E-11",0,512,128
"4,78604103086987E-11",0,1024,64
"4,78604103086987E-11",0,2048,32
"4,78604103086987E-11",0,4096,16
"1,19388505685731E-11",0,32,4096
"1,19388505685731E-11",0,64,2048
"1,19388505685731E-11",0,128,1024
"1,19388505685731E-11",0,256,512
"1,19388505685731E-11",0,512,256
"1,19388505685731E-11",0,1024,128
"1,19388505685731E-11",0,2048,64
"1,19388505685731E-11",0,4096,32
"3,01249055793715E-12",0,64,4096
"3,01249055793715E-12",0,128,2048
"3,01249055793715E-12",0,256,1024
"3,01249055793715E-12",0,512,512
"3,01249055793715E-12",0,1024,256
"3,01249055793715E-12",0,2048,128
"3,01249055793715E-12",0,4096,64
"3,01249055793715E-12",0,8192,32
"7,39752802302488E-13",0,64,8192
"7,39752802302488E-13",0,128,4096
"7,39752802302488E-13",0,256,2048
"7,39752802302488E-13",0,512,1024
"7,39752802302488E-13",0,1024,512
"7,39752802302488E-13",0,2048,256
"7,39752802302488E-13",0,4096,128
"7,39752802302488E-13",0,8192,64
"1,93091686534707E-13",0,128,8192
"1,93091686534707E-13",0,256,4096
"1,93091686534707E-13",0,512,2048
"1,93091686534707E-13",0,1024,1024
"1,93091686534707E-13",0,2048,512
"1,93091686534707E-13",0,4096,256
"1,93091686534707E-13",0,8192,128
"1,93091686534707E-13",0,16384,64
"5,29807819368513E-14",0,128,16384
"5,29807819368513E-14",0,256,8192
"5,29807819368513E-14",0,512,4096
"5,29807819368513E-14",0,1024,2048
"5,29807819368513E-14",0,2048,1024
"5,29807819368513E-14",0,4096,512
"5,29807819368513E-14",0,8192,256
"5,29807819368513E-14",0,16384,128
"2,54542962803699E-14",0,256,16384
"2,54542962803699E-14",0,512,8192
"2,54542962803699E-14",0,1024,4096
"2,54542962803699E-14",0,2048,2048
"2,54542962803699E-14",0,4096,1024
"2,54542962803699E-14",0,8192,512
"2,54542962803699E-14",0,16384,256
"2,54542962803699E-14",0,32768,128
"1,17673394782589E-13",0,256,32768
"1,17673394782589E-13",0,512,16384
"1,17673394782589E-13",0,1024,8192
"1,17673394782589E-13",0,2048,4096
"1,17673394782589E-13",0,4096,2048
"1,17673394782589E-13",0,8192,1024
"1,17673394782589E-13",0,16384,512
"1,17673394782589E-13",0,32768,256
"5,55826569572946E-14",0,512,32768
"5,55826569572946E-14",0,1024,16384
"5,55826569572946E-14",0,2048,8192
"5,55826569572946E-14",0,4096,4096
"5,55826569572946E-14",0,8192,2048
"5,55826569572946E-14",0,16384,1024
"5,55826569572946E-14",0,32768,512
"5,55826569572946E-14",0,65536,256
"1,9629093819765E-13",0,512,65536
"1,9629093819765E-13",0,1024,32768
"1,9629093819765E-13",0,2048,16384
"1,9629093819765E-13",0,4096,8192
"1,9629093819765E-13",0,8192,4096
"1,9629093819765E-13",0,16384,2048
"1,9629093819765E-13",0,32768,1024
"1,9629093819765E-13",0,65536,512
"1,70344921027881E-13",0,1024,65536
"1,70344921027881E-13",0,2048,32768
"1,70344921027881E-13",0,4096,16384
"1,70344921027881E-13",0,8192,8192
"1,70344921027881E-13",0,16384,4096
"1,70344921027881E-13",0,32768,2048
"1,70344921027881E-13",0,65536,1024
"1,70344921027881E-13",0,131072,512
"4,49511475911741E-13",0,1024,131072
"4,49511475911741E-13",0,2048,65536
"4,49511475911741E-13",0,4096,32768
"4,49511475911741E-13",0,8192,16384
"4,49511475911741E-13",0,16384,8192
"4,49511475911741E-13",0,32768,4096
"4,49511475911741E-13",0,65536,2048
"4,49511475911741E-13",0,131072,1024
"1,07851762317547E-13",0,2048,131072
"1,07851762317547E-13",0,4096,65536
"1,07851762317547E-13",0,8192,32768
"1,07851762317547E-13",0,16384,16384
"1,07851762317547E-13",0,32768,8192
"1,07851762317547E-13",0,65536,4096
"1,07851762317547E-13",0,131072,2048
"1,07851762317547E-13",0,262144,1024
