output,repetition,arg1,arg2
"1,34430309403906E-08",0,16,2048
"1,34430309403906E-08",0,32,1024
"1,34430309403906E-08",0,64,512
"1,34430309403906E-08",0,128,256
"1,34430309403906E-08",0,256,128
"1,34430309403906E-08",0,512,64
"1,34430309403906E-08",0,1024,32
"1,34430309403906E-08",0,2048,16
"3,36068753868817E-09",0,32,2048
"3,36068753868817E-09",0,64,1024
"3,36068753868817E-09",0,128,512
"3,36068753868817E-09",0,256,256
"3,36068753868817E-09",0,512,128
"3,36068753868817E-09",0,1024,64
"3,36068753868817E-09",0,2048,32
"3,36068753868817E-09",0,4096,16
"8,40163363105899E-10",0,32,4096
"8,40163363105899E-10",0,64,2048
"8,40163363105899E-10",0,128,1024
"7,82735943647696E-13",0,32768,4096
"8,40163363105899E-10",0,256,512
"8,40163363105899E-10",0,512,256
"8,40163363105899E-10",0,1024,128
"8,40163363105899E-10",0,2048,64
"8,40163363105899E-10",0,4096,32
"2,10034501792491E-10",0,64,4096
"2,10034501792491E-10",0,128,2048
"2,10034501792491E-10",0,256,1024
"2,10034501792491E-10",0,512,512
"2,10034501792491E-10",0,1024,256
"2,10034501792491E-10",0,2048,128
"2,10034501792491E-10",0,4096,64
"2,10034501792491E-10",0,8192,32
"5,25082785682031E-11",0,64,8192
"5,25082785682031E-11",0,128,4096
"5,25082785682031E-11",0,256,2048
"5,25082785682031E-11",0,512,1024
"5,25082785682031E-11",0,1024,512
"5,25082785682031E-11",0,2048,256
"5,25082785682031E-11",0,4096,128
"5,25082785682031E-11",0,8192,64
"1,31433437847918E-11",0,128,8192
"1,31433437847918E-11",0,256,4096
"1,31433437847918E-11",0,512,2048
"1,31433437847918E-11",0,1024,1024
"1,31433437847918E-11",0,2048,512
"1,31433437847918E-11",0,4096,256
"1,31433437847918E-11",0,8192,128
"1,31433437847918E-11",0,16384,64
"3,33536813649631E-12",0,128,16384
"3,33536813649631E-12",0,256,8192
"3,33536813649631E-12",0,512,4096
"3,33536813649631E-12",0,1024,2048
"3,33536813649631E-12",0,2048,1024
"3,33536813649631E-12",0,4096,512
"3,33536813649631E-12",0,8192,256
"3,33536813649631E-12",0,16384,128
"9,95134613241253E-13",0,256,16384
"7,82735943647696E-13",0,65536,2048
"9,95134613241253E-13",0,512,8192
"9,95134613241253E-13",0,1024,4096
"9,95134613241253E-13",0,2048,2048
"9,95134613241253E-13",0,4096,1024
"9,95134613241253E-13",0,8192,512
"9,95134613241253E-13",0,16384,256
"9,95134613241253E-13",0,32768,128
"4,19423478866297E-13",0,256,32768
"4,19423478866297E-13",0,512,16384
"4,19423478866297E-13",0,1024,8192
"4,19423478866297E-13",0,2048,4096
"4,19423478866297E-13",0,4096,2048
"4,19423478866297E-13",0,8192,1024
"4,19423478866297E-13",0,16384,512
"4,19423478866297E-13",0,32768,256
"7,82735943647696E-13",0,131072,1024
"5,65024560202034E-13",0,512,32768
"5,65024560202034E-13",0,1024,16384
"5,65024560202034E-13",0,2048,8192
"5,65024560202034E-13",0,4096,4096
"5,65024560202034E-13",0,8192,2048
"5,65024560202034E-13",0,16384,1024
"5,65024560202034E-13",0,32768,512
"5,65024560202034E-13",0,65536,256
"1,29141627230321E-12",0,512,65536
"1,29141627230321E-12",0,1024,32768
"1,29141627230321E-12",0,2048,16384
"6,61637655837823E-13",0,2048,131072
"1,29141627230321E-12",0,4096,8192
"1,29141627230321E-12",0,8192,4096
"1,29141627230321E-12",0,16384,2048
"1,29141627230321E-12",0,32768,1024
"1,29141627230321E-12",0,65536,512
"1,88435137810399E-12",0,1024,65536
"6,61637655837823E-13",0,4096,65536
"1,88435137810399E-12",0,2048,32768
"1,88435137810399E-12",0,4096,16384
"1,88435137810399E-12",0,8192,8192
"1,88435137810399E-12",0,16384,4096
"6,61637655837823E-13",0,8192,32768
"1,88435137810399E-12",0,32768,2048
"1,88435137810399E-12",0,65536,1024
"1,88435137810399E-12",0,131072,512
"6,61637655837823E-13",0,16384,16384
"7,82735943647696E-13",0,1024,131072
"7,82735943647696E-13",0,2048,65536
"6,61637655837823E-13",0,32768,8192
"7,82735943647696E-13",0,4096,32768
"7,82735943647696E-13",0,8192,16384
"6,61637655837823E-13",0,65536,4096
"7,82735943647696E-13",0,16384,8192
"7,82735943647696E-13",0,32768,4096
"6,61637655837823E-13",0,131072,2048
"7,82735943647696E-13",0,65536,2048
"7,82735943647696E-13",0,131072,1024
"6,61637655837823E-13",0,262144,1024
"6,61637655837823E-13",0,2048,131072
"6,61637655837823E-13",0,4096,65536
"6,61637655837823E-13",0,8192,32768
"6,61637655837823E-13",0,16384,16384
"6,61637655837823E-13",0,32768,8192
"6,61637655837823E-13",0,65536,4096
"6,61637655837823E-13",0,131072,2048
"6,61637655837823E-13",0,262144,1024
