,,,example1,,,,,,example2,,,,,
n,,,double,double_kahan,double_neumaier,float,float_kahan,float_neumaier,double,double_kahan,double_neumaier,float,float_kahan,float_neumaier
32768,16,2048,2e-10,2e-10,2e-10,7e-07,6e-08,6e-08,1e-08,1e-08,1e-08,7e-07,8e-08,9e-08
32768,32,1024,2e-10,2e-10,2e-10,9e-07,6e-08,6e-08,1e-08,1e-08,1e-08,7e-06,5e-08,5e-08
32768,64,512,2e-10,2e-10,2e-10,5e-07,6e-08,6e-08,1e-08,1e-08,1e-08,6e-06,2e-07,2e-07
32768,128,256,2e-10,2e-10,2e-10,4e-07,6e-08,6e-08,1e-08,1e-08,1e-08,2e-06,5e-08,5e-08
32768,256,128,2e-10,2e-10,2e-10,3e-07,6e-08,6e-08,1e-08,1e-08,1e-08,5e-07,5e-07,5e-07
32768,512,64,2e-10,2e-10,2e-10,8e-08,6e-08,6e-08,1e-08,1e-08,1e-08,4e-06,5e-07,8e-07
32768,1024,32,2e-10,2e-10,2e-10,9e-08,7e-08,7e-08,1e-08,1e-08,1e-08,3e-06,4e-07,6e-07
32768,2048,16,2e-10,2e-10,2e-10,2e-07,6e-08,6e-08,1e-08,1e-08,1e-08,8e-06,4e-07,4e-07
65536,32,2048,5e-11,5e-11,5e-11,4e-07,6e-08,6e-08,3e-09,3e-09,3e-09,7e-06,2e-07,2e-07
65536,64,1024,5e-11,5e-11,5e-11,4e-07,6e-08,6e-08,3e-09,3e-09,3e-09,2e-06,2e-07,2e-07
65536,128,512,5e-11,5e-11,5e-11,1e-07,6e-08,6e-08,3e-09,3e-09,3e-09,3e-06,9e-08,8e-08
65536,256,256,5e-11,5e-11,5e-11,5e-07,6e-08,6e-08,3e-09,3e-09,3e-09,2e-06,2e-07,2e-07
65536,512,128,5e-11,5e-11,5e-11,2e-07,6e-08,6e-08,3e-09,3e-09,3e-09,3e-06,1e-07,2e-07
65536,1024,64,5e-11,5e-11,5e-11,1e-07,6e-08,6e-08,3e-09,3e-09,3e-09,5e-06,3e-07,2e-07
65536,2048,32,5e-11,5e-11,5e-11,6e-08,6e-08,6e-08,3e-09,3e-09,3e-09,2e-05,2e-07,4e-08
65536,4096,16,5e-11,5e-11,5e-11,2e-07,6e-08,6e-08,3e-09,3e-09,3e-09,2e-05,2e-07,2e-07
131072,32,4096,1e-11,1e-11,1e-11,3e-07,6e-08,6e-08,8e-10,8e-10,8e-10,1e-05,2e-07,2e-07
131072,64,2048,1e-11,1e-11,1e-11,6e-07,6e-08,6e-08,8e-10,8e-10,8e-10,3e-07,2e-07,2e-07
131072,128,1024,1e-11,1e-11,1e-11,4e-07,6e-08,6e-08,8e-10,8e-10,8e-10,3e-06,1e-07,1e-07
131072,256,512,1e-11,1e-11,1e-11,3e-07,6e-08,6e-08,8e-10,8e-10,8e-10,7e-06,1e-07,1e-07
131072,512,256,1e-11,1e-11,1e-11,4e-07,6e-08,6e-08,8e-10,8e-10,8e-10,4e-06,2e-07,2e-07
131072,1024,128,1e-11,1e-11,1e-11,7e-08,6e-08,6e-08,8e-10,8e-10,8e-10,7e-07,5e-07,6e-07
131072,2048,64,1e-11,1e-11,1e-11,3e-07,6e-08,6e-08,8e-10,8e-10,8e-10,2e-05,2e-07,1e-07
131072,4096,32,1e-11,1e-11,1e-11,6e-07,6e-08,6e-08,8e-10,8e-10,8e-10,3e-06,2e-07,5e-08
262144,64,4096,3e-12,3e-12,3e-12,3e-07,6e-08,6e-08,2e-10,2e-10,2e-10,9e-06,1e-07,1e-07
262144,128,2048,3e-12,3e-12,3e-12,4e-07,6e-08,6e-08,2e-10,2e-10,2e-10,4e-06,8e-08,8e-08
262144,256,1024,3e-12,3e-12,3e-12,5e-07,6e-08,6e-08,2e-10,2e-10,2e-10,2e-06,2e-07,2e-07
262144,512,512,3e-12,3e-12,3e-12,5e-07,6e-08,6e-08,2e-10,2e-10,2e-10,2e-06,1e-07,8e-08
262144,1024,256,3e-12,3e-12,3e-12,4e-07,6e-08,6e-08,2e-10,2e-10,2e-10,2e-06,1e-07,2e-07
262144,2048,128,3e-12,3e-12,3e-12,7e-07,6e-08,6e-08,2e-10,2e-10,2e-10,2e-06,2e-07,2e-07
262144,4096,64,3e-12,3e-12,3e-12,2e-07,6e-08,6e-08,2e-10,2e-10,2e-10,6e-06,2e-07,6e-08
262144,8192,32,3e-12,3e-12,3e-12,1e-06,7e-08,7e-08,2e-10,2e-10,2e-10,1e-05,2e-07,3e-07
524288,64,8192,7e-13,7e-13,7e-13,4e-07,6e-08,6e-08,5e-11,5e-11,5e-11,1e-06,7e-08,7e-08
524288,128,4096,7e-13,7e-13,7e-13,3e-07,6e-08,6e-08,5e-11,5e-11,5e-11,5e-06,7e-08,7e-08
524288,256,2048,7e-13,7e-13,7e-13,2e-07,6e-08,6e-08,5e-11,5e-11,5e-11,3e-06,5e-08,5e-08
524288,512,1024,7e-13,7e-13,7e-13,5e-07,6e-08,6e-08,5e-11,5e-11,5e-11,2e-06,5e-08,4e-08
524288,1024,512,7e-13,7e-13,7e-13,6e-07,6e-08,6e-08,5e-11,5e-11,5e-11,1e-06,2e-07,2e-07
524288,2048,256,7e-13,7e-13,7e-13,1e-07,6e-08,6e-08,5e-11,5e-11,5e-11,1e-06,3e-07,3e-07
524288,4096,128,7e-13,7e-13,7e-13,2e-07,6e-08,6e-08,5e-11,5e-11,5e-11,4e-06,5e-08,4e-08
524288,8192,64,7e-13,7e-13,7e-13,7e-07,6e-08,6e-08,5e-11,5e-11,5e-11,5e-06,6e-08,2e-07
1048576,128,8192,2e-13,2e-13,2e-13,5e-07,6e-08,6e-08,1e-11,1e-11,1e-11,4e-06,5e-08,5e-08
1048576,256,4096,2e-13,2e-13,2e-13,4e-07,6e-08,6e-08,1e-11,1e-11,1e-11,2e-05,7e-08,7e-08
1048576,512,2048,2e-13,2e-13,2e-13,2e-07,6e-08,6e-08,1e-11,1e-11,1e-11,6e-06,5e-08,5e-08
1048576,1024,1024,2e-13,2e-13,2e-13,5e-07,6e-08,6e-08,1e-11,1e-11,1e-11,5e-06,7e-08,7e-08
1048576,2048,512,2e-13,2e-13,2e-13,9e-07,6e-08,6e-08,1e-11,1e-11,1e-11,5e-06,1e-07,1e-07
1048576,4096,256,2e-13,2e-13,2e-13,1e-06,6e-08,6e-08,1e-11,1e-11,1e-11,6e-06,2e-07,2e-07
1048576,8192,128,2e-13,2e-13,2e-13,2e-06,6e-08,6e-08,1e-11,1e-11,1e-11,2e-05,2e-07,1e-07
1048576,16384,64,2e-13,2e-13,2e-13,7e-06,6e-08,6e-08,1e-11,1e-11,1e-11,2e-05,1e-07,9e-08
2097152,128,16384,4e-14,5e-14,5e-14,9e-07,6e-08,6e-08,3e-12,3e-12,3e-12,1e-05,5e-08,5e-08
