output,repetition,arg1,arg2
"0,000335",0,16,2048
"0,000349",1,16,2048
"0,000338",2,16,2048
"0,000342",3,16,2048
"0,000335",4,16,2048
"0,000348",5,16,2048
"0,000337",6,16,2048
"0,000333",7,16,2048
"0,000339",8,16,2048
"0,00033",9,16,2048
"0,000332",10,16,2048
"0,000333",11,16,2048
"0,000337",12,16,2048
"0,000345",13,16,2048
"0,000331",14,16,2048
"0,000338",15,16,2048
"0,000339",16,16,2048
"0,000335",17,16,2048
"0,000332",18,16,2048
"0,000334",19,16,2048
"0,000346",20,16,2048
"0,000355",21,16,2048
"0,000326",22,16,2048
"0,000331",23,16,2048
"0,000327",24,16,2048
"0,000341",25,16,2048
"0,000348",26,16,2048
"0,000345",27,16,2048
"0,000339",28,16,2048
"0,000341",29,16,2048
"0,000348",30,16,2048
"0,000332",31,16,2048
"0,000326",32,16,2048
"0,000343",33,16,2048
"0,000346",34,16,2048
"0,000335",35,16,2048
"0,000332",36,16,2048
"0,000344",37,16,2048
"0,000346",38,16,2048
"0,000344",39,16,2048
"0,000332",40,16,2048
"0,000339",41,16,2048
"0,000336",42,16,2048
"0,000335",43,16,2048
"0,000331",44,16,2048
"0,000345",45,16,2048
"0,000333",46,16,2048
"0,000332",47,16,2048
"0,000349",48,16,2048
"0,000345",49,16,2048
"0,000341",50,16,2048
"0,00033",51,16,2048
"0,000341",52,16,2048
"0,000333",53,16,2048
"0,00033",54,16,2048
"0,000336",55,16,2048
"0,000346",56,16,2048
"0,000339",57,16,2048
"0,00033",58,16,2048
"0,000334",59,16,2048
"0,000338",60,16,2048
"0,000332",61,16,2048
"0,000334",62,16,2048
"0,000328",63,16,2048
"0,000335",64,16,2048
"0,000334",65,16,2048
"0,000345",66,16,2048
"0,000351",67,16,2048
"0,000334",68,16,2048
"0,000345",69,16,2048
"0,000336",70,16,2048
"0,000335",71,16,2048
"0,000328",72,16,2048
"0,000336",73,16,2048
"0,000337",74,16,2048
"0,000339",75,16,2048
"0,000329",76,16,2048
"0,000356",77,16,2048
"0,000333",78,16,2048
"0,000334",79,16,2048
"0,000325",80,16,2048
"0,000334",81,16,2048
"0,000327",82,16,2048
"0,000335",83,16,2048
"0,000335",84,16,2048
"0,000332",85,16,2048
"0,000333",86,16,2048
"0,000343",87,16,2048
"0,000333",88,16,2048
"0,000341",89,16,2048
