output,repetition,arg1,arg2
"0,00057",0,16,2048
"0,000595",1,16,2048
"0,000584",2,16,2048
"0,000563",3,16,2048
"0,000582",4,16,2048
"0,000565",5,16,2048
"0,000571",6,16,2048
"0,000578",7,16,2048
"0,000569",8,16,2048
"0,000579",9,16,2048
"0,000572",10,16,2048
"0,000573",11,16,2048
"0,00058",12,16,2048
"0,000581",13,16,2048
"0,000587",14,16,2048
"0,00058",15,16,2048
"0,000567",16,16,2048
"0,000606",17,16,2048
"0,000559",18,16,2048
"0,0006",19,16,2048
"0,000575",20,16,2048
"0,000569",21,16,2048
"0,000566",22,16,2048
"0,000587",23,16,2048
"0,00057",24,16,2048
"0,000567",25,16,2048
"0,000586",26,16,2048
"0,000586",27,16,2048
"0,000569",28,16,2048
"0,000585",29,16,2048
"0,000572",30,16,2048
"0,000589",31,16,2048
"0,000577",32,16,2048
"0,000559",33,16,2048
"0,00057",34,16,2048
"0,000578",35,16,2048
"0,000579",36,16,2048
"0,000588",37,16,2048
"0,000581",38,16,2048
"0,000606",39,16,2048
"0,000563",40,16,2048
"0,000588",41,16,2048
"0,00058",42,16,2048
"0,000579",43,16,2048
"0,000583",44,16,2048
"0,00061",45,16,2048
"0,000592",46,16,2048
"0,00057",47,16,2048
"0,000594",48,16,2048
"0,000579",49,16,2048
"0,000593",50,16,2048
"0,000593",51,16,2048
"0,000559",52,16,2048
"0,000584",53,16,2048
"0,000592",54,16,2048
"0,00056",55,16,2048
"0,000581",56,16,2048
"0,000575",57,16,2048
"0,000565",58,16,2048
"0,000571",59,16,2048
"0,000578",60,16,2048
"0,000576",61,16,2048
"0,000574",62,16,2048
"0,000635",63,16,2048
"0,000584",64,16,2048
"0,000569",65,16,2048
"0,000587",66,16,2048
"0,000575",67,16,2048
"0,000567",68,16,2048
"0,00058",69,16,2048
"0,000565",70,16,2048
"0,000576",71,16,2048
"0,000578",72,16,2048
"0,000579",73,16,2048
"0,000591",74,16,2048
"0,000586",75,16,2048
"0,000567",76,16,2048
"0,000577",77,16,2048
"0,00061",78,16,2048
"0,000582",79,16,2048
"0,000583",80,16,2048
"0,000586",81,16,2048
"0,000577",82,16,2048
"0,000588",83,16,2048
"0,000572",84,16,2048
"0,000583",85,16,2048
"0,000591",86,16,2048
"0,000565",87,16,2048
"0,000567",88,16,2048
"0,000581",89,16,2048
"0,000578",90,16,2048
"0,000573",91,16,2048
"0,000587",92,16,2048
"0,000585",93,16,2048
"0,000572",94,16,2048
"0,000563",95,16,2048
"0,000581",96,16,2048
"0,000585",97,16,2048
"0,00059",98,16,2048
"0,00059",99,16,2048
"0,000577",0,32,1024
"0,000558",1,32,1024
"0,000579",2,32,1024
"0,000572",3,32,1024
"0,000583",4,32,1024
"0,000566",5,32,1024
"0,000569",6,32,1024
"0,000578",7,32,1024
"0,000583",8,32,1024
"0,000572",9,32,1024
"0,00058",10,32,1024
"0,000585",11,32,1024
"0,000565",12,32,1024
"0,000579",13,32,1024
"0,000584",14,32,1024
"0,000608",15,32,1024
"0,000563",16,32,1024
"0,000587",17,32,1024
"0,000575",18,32,1024
"0,000568",19,32,1024
"0,000588",20,32,1024
"0,000563",21,32,1024
"0,000566",22,32,1024
"0,00058",23,32,1024
"0,000569",24,32,1024
"0,000564",25,32,1024
"0,000571",26,32,1024
"0,000561",27,32,1024
"0,000586",28,32,1024
"0,000569",29,32,1024
"0,000557",30,32,1024
"0,00057",31,32,1024
"0,000559",32,32,1024
"0,000579",33,32,1024
"0,000584",34,32,1024
"0,000565",35,32,1024
"0,000581",36,32,1024
"0,00057",37,32,1024
"0,000583",38,32,1024
"0,000582",39,32,1024
"0,000594",40,32,1024
"0,000566",41,32,1024
"0,000579",42,32,1024
"0,000566",43,32,1024
"0,000576",44,32,1024
"0,000582",45,32,1024
"0,000572",46,32,1024
"0,000564",47,32,1024
"0,000579",48,32,1024
"0,00059",49,32,1024
"0,000571",50,32,1024
"0,000582",51,32,1024
"0,000589",52,32,1024
"0,000564",53,32,1024
"0,000582",54,32,1024
"0,000571",55,32,1024
"0,000654",56,32,1024
"0,000589",57,32,1024
"0,000583",58,32,1024
"0,000568",59,32,1024
"0,00059",60,32,1024
"0,000578",61,32,1024
"0,000567",62,32,1024
"0,000565",63,32,1024
"0,000584",64,32,1024
"0,00057",65,32,1024
"0,000592",66,32,1024
"0,000584",67,32,1024
"0,000579",68,32,1024
"0,000573",69,32,1024
"0,000579",70,32,1024
"0,000573",71,32,1024
"0,000563",72,32,1024
"0,000574",73,32,1024
"0,000573",74,32,1024
"0,000589",75,32,1024
"0,000587",76,32,1024
"0,000739",77,32,1024
"0,000574",78,32,1024
"0,000593",79,32,1024
"0,000586",80,32,1024
"0,00057",81,32,1024
"0,00059",82,32,1024
"0,00058",83,32,1024
"0,000576",84,32,1024
"0,000584",85,32,1024
"0,00058",86,32,1024
"0,000565",87,32,1024
"0,000594",88,32,1024
"0,00057",89,32,1024
"0,000578",90,32,1024
"0,000594",91,32,1024
"0,000562",92,32,1024
"0,000581",93,32,1024
"0,000588",94,32,1024
"0,000574",95,32,1024
"0,00058",96,32,1024
"0,000581",97,32,1024
"0,000558",98,32,1024
"0,000572",99,32,1024
"0,000575",0,64,512
"0,000574",1,64,512
"0,000557",2,64,512
"0,000574",3,64,512
"0,000587",4,64,512
"0,000574",5,64,512
"0,000571",6,64,512
"0,000585",7,64,512
"0,000572",8,64,512
"0,000576",9,64,512
"0,000579",10,64,512
"0,000578",11,64,512
"0,000571",12,64,512
"0,000576",13,64,512
"0,000576",14,64,512
"0,000566",15,64,512
"0,000583",16,64,512
"0,000563",17,64,512
"0,000587",18,64,512
"0,000573",19,64,512
"0,000579",20,64,512
"0,000571",21,64,512
"0,000582",22,64,512
"0,000562",23,64,512
"0,000571",24,64,512
"0,000592",25,64,512
"0,000565",26,64,512
"0,000571",27,64,512
"0,000594",28,64,512
"0,000568",29,64,512
"0,000571",30,64,512
"0,000577",31,64,512
"0,000589",32,64,512
"0,00056",33,64,512
"0,000569",34,64,512
"0,000589",35,64,512
"0,000582",36,64,512
"0,000572",37,64,512
"0,000578",38,64,512
"0,000575",39,64,512
"0,000574",40,64,512
"0,000594",41,64,512
"0,000566",42,64,512
"0,000578",43,64,512
"0,00057",44,64,512
"0,000585",45,64,512
"0,000569",46,64,512
"0,000581",47,64,512
"0,000572",48,64,512
"0,000575",49,64,512
"0,000582",50,64,512
"0,000571",51,64,512
"0,000564",52,64,512
"0,000586",53,64,512
"0,00057",54,64,512
"0,000571",55,64,512
"0,000592",56,64,512
"0,000567",57,64,512
"0,00059",58,64,512
"0,000589",59,64,512
"0,000584",60,64,512
"0,000572",61,64,512
"0,000581",62,64,512
"0,000563",63,64,512
"0,000585",64,64,512
"0,000585",65,64,512
"0,000562",66,64,512
"0,000576",67,64,512
"0,000584",68,64,512
"0,000572",69,64,512
"0,000582",70,64,512
"0,000568",71,64,512
"0,00058",72,64,512
"0,000573",73,64,512
"0,000559",74,64,512
"0,00057",75,64,512
"0,000578",76,64,512
"0,000567",77,64,512
"0,000587",78,64,512
"0,000559",79,64,512
"0,000575",80,64,512
"0,000572",81,64,512
"0,000576",82,64,512
"0,00057",83,64,512
"0,000584",84,64,512
"0,000583",85,64,512
"0,000567",86,64,512
"0,000747",87,64,512
"0,00056",88,64,512
"0,000581",89,64,512
"0,000591",90,64,512
"0,000561",91,64,512
"0,000571",92,64,512
"0,000589",93,64,512
"0,000572",94,64,512
"0,000586",95,64,512
"0,000577",96,64,512
"0,000584",97,64,512
"0,000573",98,64,512
"0,000605",99,64,512
"0,000576",0,128,256
"0,000583",1,128,256
"0,000572",2,128,256
"0,000577",3,128,256
"0,000589",4,128,256
"0,00058",5,128,256
"0,000581",6,128,256
"0,00059",7,128,256
"0,000568",8,128,256
"0,000566",9,128,256
"0,00058",10,128,256
"0,000579",11,128,256
"0,000569",12,128,256
"0,000565",13,128,256
"0,000589",14,128,256
"0,000582",15,128,256
"0,000571",16,128,256
"0,000585",17,128,256
"0,000574",18,128,256
"0,000578",19,128,256
"0,000584",20,128,256
"0,000581",21,128,256
"0,00057",22,128,256
"0,000751",23,128,256
"0,000573",24,128,256
"0,000575",25,128,256
"0,000568",26,128,256
"0,000593",27,128,256
"0,000573",28,128,256
"0,000581",29,128,256
"0,000583",30,128,256
"0,000587",31,128,256
"0,000571",32,128,256
"0,000587",33,128,256
"0,000563",34,128,256
"0,00074",35,128,256
"0,000586",36,128,256
"0,00057",37,128,256
"0,000581",38,128,256
"0,000578",39,128,256
"0,00058",40,128,256
"0,000574",41,128,256
"0,000591",42,128,256
"0,000567",43,128,256
"0,000577",44,128,256
"0,000566",45,128,256
"0,000583",46,128,256
"0,000569",47,128,256
"0,000565",48,128,256
"0,000581",49,128,256
"0,000586",50,128,256
"0,000575",51,128,256
"0,000572",52,128,256
"0,000587",53,128,256
"0,000587",54,128,256
"0,000573",55,128,256
"0,000569",56,128,256
"0,000588",57,128,256
"0,000587",58,128,256
"0,000589",59,128,256
"0,000573",60,128,256
"0,000586",61,128,256
"0,000582",62,128,256
"0,00057",63,128,256
"0,000597",64,128,256
"0,000571",65,128,256
"0,000577",66,128,256
"0,000594",67,128,256
"0,000569",68,128,256
"0,000578",69,128,256
"0,000586",70,128,256
"0,000572",71,128,256
"0,000573",72,128,256
"0,00058",73,128,256
"0,000565",74,128,256
"0,000567",75,128,256
"0,000585",76,128,256
"0,000572",77,128,256
"0,000579",78,128,256
"0,000574",79,128,256
"0,000587",80,128,256
"0,000572",81,128,256
"0,000581",82,128,256
"0,000575",83,128,256
"0,000577",84,128,256
"0,000567",85,128,256
"0,000578",86,128,256
"0,000563",87,128,256
"0,000588",88,128,256
"0,000581",89,128,256
"0,000593",90,128,256
"0,000564",91,128,256
"0,000572",92,128,256
"0,000573",93,128,256
"0,000557",94,128,256
"0,000588",95,128,256
"0,000576",96,128,256
"0,000566",97,128,256
"0,000586",98,128,256
"0,000568",99,128,256
"0,000576",0,256,128
"0,000586",1,256,128
"0,000563",2,256,128
"0,000573",3,256,128
"0,000593",4,256,128
"0,000572",5,256,128
"0,000585",6,256,128
"0,000582",7,256,128
"0,000586",8,256,128
"0,000571",9,256,128
"0,000588",10,256,128
"0,000563",11,256,128
"0,000582",12,256,128
"0,000568",13,256,128
"0,000584",14,256,128
"0,000561",15,256,128
"0,000567",16,256,128
"0,000582",17,256,128
"0,00056",18,256,128
"0,000569",19,256,128
"0,000584",20,256,128
"0,000565",21,256,128
"0,000585",22,256,128
"0,000572",23,256,128
"0,000561",24,256,128
"0,000576",25,256,128
"0,000574",26,256,128
"0,000569",27,256,128
"0,000586",28,256,128
"0,000581",29,256,128
"0,000589",30,256,128
"0,000575",31,256,128
"0,000587",32,256,128
"0,000578",33,256,128
"0,00056",34,256,128
"0,000589",35,256,128
"0,000582",36,256,128
"0,00057",37,256,128
"0,000571",38,256,128
"0,000584",39,256,128
"0,000569",40,256,128
"0,000588",41,256,128
"0,00056",42,256,128
"0,000576",43,256,128
"0,000584",44,256,128
"0,000573",45,256,128
"0,000583",46,256,128
"0,000578",47,256,128
"0,000568",48,256,128
"0,000576",49,256,128
"0,000581",50,256,128
"0,000575",51,256,128
"0,000571",52,256,128
"0,000585",53,256,128
"0,000572",54,256,128
"0,000583",55,256,128
"0,000585",56,256,128
"0,000562",57,256,128
"0,000581",58,256,128
"0,000575",59,256,128
"0,000584",60,256,128
"0,000578",61,256,128
"0,00057",62,256,128
"0,000584",63,256,128
"0,000577",64,256,128
"0,000585",65,256,128
"0,000586",66,256,128
"0,000574",67,256,128
"0,000589",68,256,128
"0,000581",69,256,128
"0,000575",70,256,128
"0,000579",71,256,128
"0,000595",72,256,128
"0,000576",73,256,128
"0,00057",74,256,128
"0,000585",75,256,128
"0,000566",76,256,128
"0,000595",77,256,128
"0,000595",78,256,128
"0,000569",79,256,128
"0,000565",80,256,128
"0,000584",81,256,128
"0,000561",82,256,128
"0,000571",83,256,128
"0,000593",84,256,128
"0,000585",85,256,128
"0,000575",86,256,128
"0,000576",87,256,128
"0,000564",88,256,128
"0,000569",89,256,128
"0,000582",90,256,128
"0,00057",91,256,128
"0,000577",92,256,128
"0,000669",93,256,128
"0,00056",94,256,128
"0,000572",95,256,128
"0,000583",96,256,128
"0,00058",97,256,128
"0,000569",98,256,128
"0,000574",99,256,128
"0,000577",0,512,64
"0,000584",1,512,64
"0,000576",2,512,64
"0,000579",3,512,64
"0,000575",4,512,64
"0,000571",5,512,64
"0,00058",6,512,64
"0,000576",7,512,64
"0,000575",8,512,64
"0,000593",9,512,64
"0,000588",10,512,64
"0,000575",11,512,64
"0,000591",12,512,64
"0,000588",13,512,64
"0,000577",14,512,64
"0,000593",15,512,64
"0,000566",16,512,64
"0,000573",17,512,64
"0,000591",18,512,64
"0,000577",19,512,64
"0,000568",20,512,64
"0,000587",21,512,64
"0,000572",22,512,64
"0,000564",23,512,64
"0,00059",24,512,64
"0,000562",25,512,64
"0,000567",26,512,64
"0,00058",27,512,64
"0,000576",28,512,64
"0,00058",29,512,64
"0,000564",30,512,64
"0,000733",31,512,64
"0,000578",32,512,64
"0,000578",33,512,64
"0,000587",34,512,64
"0,000583",35,512,64
"0,000585",36,512,64
"0,000579",37,512,64
"0,000571",38,512,64
"0,000575",39,512,64
"0,000575",40,512,64
"0,00059",41,512,64
"0,000582",42,512,64
"0,000582",43,512,64
"0,000563",44,512,64
"0,000578",45,512,64
"0,000582",46,512,64
"0,000588",47,512,64
"0,000573",48,512,64
"0,000573",49,512,64
"0,000583",50,512,64
"0,000576",51,512,64
"0,00058",52,512,64
"0,000578",53,512,64
"0,000564",54,512,64
"0,000588",55,512,64
"0,000572",56,512,64
"0,000574",57,512,64
"0,000586",58,512,64
"0,000619",59,512,64
"0,000569",60,512,64
"0,000586",61,512,64
"0,000574",62,512,64
"0,000577",63,512,64
"0,000588",64,512,64
"0,000585",65,512,64
"0,00058",66,512,64
"0,00058",67,512,64
"0,000585",68,512,64
"0,000567",69,512,64
"0,000567",70,512,64
"0,000568",71,512,64
"0,000583",72,512,64
"0,000585",73,512,64
"0,000571",74,512,64
"0,000585",75,512,64
"0,000581",76,512,64
"0,000587",77,512,64
"0,000583",78,512,64
"0,000571",79,512,64
"0,000577",80,512,64
"0,000569",81,512,64
